# page-membership gap-fill (find_data_gaps targets; MediaWiki API; Haiku centrality). relation=element_of. cols: a	b	stratum	wl	mu	relation	a_type	b_type
Public_toilets_automation	Exergy_efficiency	neg	-1	0.0	element_of	category	page
Galaxies	Parallel_task_scheduling	neg	-1	0.0	element_of	category	page
Comedians	Passband	neg	-1	0.0	element_of	category	page
Television_stations	Mathieu_wavelet	neg	-1	0.0	element_of	category	page
Cooking	Duality_gap	neg	-1	0.0	element_of	category	page
Cooking	TAPAAL_Model_Checker	neg	-1	0.0	element_of	category	page
Packing_problems	Close-packing_of_equal_spheres	pos_pageof_packing_prob	-1	1.0	element_of	category	page
Tornado	Non-linear_multi-dimensional_signal_processing	neg	-1	0.0	element_of	category	page
Tornado	Polygon_partition	neg	-1	0.0	element_of	category	page
Linear_filters	Bridged_T_delay_equaliser	pos_pageof_linear_filte	-1	0.8	element_of	category	page
Comedians	Harmonic_wavelet_transform	neg	-1	0.0	element_of	category	page
Linear_programming	Dual_linear_program	pos_pageof_linear_progr	-1	1.0	element_of	category	page
Public_toilets_automation	Maximum_flow_problem	neg	-1	0.0	element_of	category	page
Television_stations	Basic_solution_(linear_programming)	neg	-1	0.0	element_of	category	page
Linear_programming	Revised_simplex_method	pos_pageof_linear_progr	-1	1.0	element_of	category	page
Cooking	Network_synthesis_filters	neg	-1	0.0	element_of	category	page
Linear_filters	Linkwitz–Riley_filter	pos_pageof_linear_filte	-1	0.8	element_of	category	page
1978_albums	Duality_gap	neg	-1	0.0	element_of	category	page
Comedians	Composite_image_filter	neg	-1	0.0	element_of	category	page
Comedians	Jarzynski_equality	neg	-1	0.0	element_of	category	page
Organizational_cybernetics	Network-centric_organization	pos_pageof_organization	-1	0.6	element_of	category	page
Galaxies	Non-equilibrium_statistical_mechanics	neg	-1	0.0	element_of	category	page
Packing_problems	List_of_shapes_with_known_packing_constant	pos_pageof_packing_prob	-1	1.0	element_of	category	page
Television_stations	Simplex_algorithm	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Vertex_enumeration_problem	neg	-1	0.0	element_of	category	page
Chess_openings	Kepler_conjecture	neg	-1	0.0	element_of	category	page
Linear_filters	Active_filter	pos_pageof_linear_filte	-1	1.0	element_of	category	page
Packing_problems	Rectangle_packing	pos_pageof_packing_prob	-1	0.8	element_of	category	page
Linear_filters	Analogue_filter	pos_pageof_linear_filte	-1	1.0	element_of	category	page
Public_toilets_automation	Expected_shortfall	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Edmonds–Karp_algorithm	neg	-1	0.0	element_of	category	page
Cooking	Hirsch_conjecture	neg	-1	0.0	element_of	category	page
Medieval_knights	Exergy_efficiency	neg	-1	0.0	element_of	category	page
Television_stations	Workplace_robotics_safety	neg	-1	0.0	element_of	category	page
Feudalism	Ensemble_Kalman_filter	neg	-1	0.0	element_of	category	page
Packing_problems	Sphere_packing_in_a_cube	pos_pageof_packing_prob	-1	0.8	element_of	category	page
Chess_openings	Quadratic_knapsack_problem	neg	-1	0.0	element_of	category	page
Galaxies	Configuration_linear_program	neg	-1	0.0	element_of	category	page
Network_flow_problem	Braess's_paradox	pos_pageof_network_flow	-1	0.4	element_of	category	page
Feudalism	Quarter-wave_impedance_transformer	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Shearlet	neg	-1	0.0	element_of	category	page
Galaxies	Crooks_fluctuation_theorem	neg	-1	0.0	element_of	category	page
Organizational_cybernetics	Workplace_robotics_safety	pos_pageof_organization	-1	0.4	element_of	category	page
Feudalism	Linear_programming_relaxation	neg	-1	0.0	element_of	category	page
Network_flow_problem	Push–relabel_maximum_flow_algorithm	pos_pageof_network_flow	-1	1.0	element_of	category	page
Galaxies	Out-of-kilter_algorithm	neg	-1	0.0	element_of	category	page
Chess_openings	Capacitor-input_filter	neg	-1	0.0	element_of	category	page
Comedians	Loschmidt's_paradox	neg	-1	0.0	element_of	category	page
Wavelets	Dual_wavelet	pos_pageof_wavelets	-1	1.0	element_of	category	page
1978_albums	Push–relabel_maximum_flow_algorithm	neg	-1	0.0	element_of	category	page
Galaxies	Wavelet_for_multidimensional_signals_analysis	neg	-1	0.0	element_of	category	page
Linear_filters	Anti-aliasing_filter	pos_pageof_linear_filte	-1	0.8	element_of	category	page
1978_albums	Network_simplex_algorithm	neg	-1	0.0	element_of	category	page
1978_albums	Generalized_lifting	neg	-1	0.0	element_of	category	page
Linear_programming	Expected_shortfall	pos_pageof_linear_progr	-1	0.4	element_of	category	page
Cooking	Network-centric_organization	neg	-1	0.0	element_of	category	page
Tornado	BLAST_model_checker	neg	-1	0.0	element_of	category	page
Television_stations	Achieser–Zolotarev_filter	neg	-1	0.0	element_of	category	page
Network_flow_problem	Max-flow_min-cut_theorem	pos_pageof_network_flow	-1	1.0	element_of	category	page
Television_stations	Thermal_transpiration	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Sinc_filter	neg	-1	0.0	element_of	category	page
Linear_programming	Dantzig–Wolfe_decomposition	pos_pageof_linear_progr	-1	1.0	element_of	category	page
Linear_filters	Bartlett's_bisection_theorem	pos_pageof_linear_filte	-1	0.6	element_of	category	page
Feudalism	TAPAs_model_checker	neg	-1	0.0	element_of	category	page
Linear_programming	Klee–Minty_cube	pos_pageof_linear_progr	-1	1.0	element_of	category	page
Television_stations	Minimum_relevant_variables_in_linear_system	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Stationary_wavelet_transform	neg	-1	0.0	element_of	category	page
Tornado	Intra-household_bargaining	neg	-1	0.0	element_of	category	page
Linear_programming	Linear-fractional_programming	pos_pageof_linear_progr	-1	0.8	element_of	category	page
Tornado	Mehrotra_predictor–corrector_method	neg	-1	0.0	element_of	category	page
Tornado	Maximum_entropy_thermodynamics	neg	-1	0.0	element_of	category	page
Galaxies	Romeo_Model_Checker	neg	-1	0.0	element_of	category	page
1978_albums	Gabor_wavelet	neg	-1	0.0	element_of	category	page
Linear_programming	Duality_(optimization)	pos_pageof_linear_progr	-1	1.0	element_of	category	page
Galaxies	Minimum_cut	neg	-1	0.0	element_of	category	page
1978_albums	Sphere_packing_in_a_cylinder	neg	-1	0.0	element_of	category	page
Linear_programming	Omega_ratio	pos_pageof_linear_progr	-1	0.4	element_of	category	page
Network_flow_problem	Edmonds–Karp_algorithm	pos_pageof_network_flow	-1	1.0	element_of	category	page
Television_stations	Capacitor-input_filter	neg	-1	0.0	element_of	category	page
Medieval_knights	Edmonds–Karp_algorithm	neg	-1	0.0	element_of	category	page
Wavelets	Shearlet	pos_pageof_wavelets	-1	0.8	element_of	category	page
Linear_programming	Network_simplex_algorithm	pos_pageof_linear_progr	-1	1.0	element_of	category	page
Galaxies	Wavelet_transform	neg	-1	0.0	element_of	category	page
Packing_problems	Sphere_packing_in_a_cylinder	pos_pageof_packing_prob	-1	0.8	element_of	category	page
Medieval_knights	Dynamic_link_matching	neg	-1	0.0	element_of	category	page
Feudalism	Minimum_cut	neg	-1	0.0	element_of	category	page
Tornado	Linear_programming_decoding	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Approximate_max-flow_min-cut_theorem	neg	-1	0.0	element_of	category	page
Chess_openings	Simplex_algorithm	neg	-1	0.0	element_of	category	page
Linear_filters	Frequency-dependent_negative_resistor	pos_pageof_linear_filte	-1	0.6	element_of	category	page
Tornado	Optimum_"L"_filter	neg	-1	0.0	element_of	category	page
Cooking	Graver_basis	neg	-1	0.0	element_of	category	page
Feudalism	Digital_biquad_filter	neg	-1	0.0	element_of	category	page
1978_albums	Uppaal_Model_Checker	neg	-1	0.0	element_of	category	page
Filter_frequency_response	Band-stop_filter	pos_pageof_filter_frequ	-1	1.0	element_of	category	page
Model_checkers	TAPAAL_Model_Checker	pos_pageof_model_checke	-1	1.0	element_of	category	page
Feudalism	BLAST_model_checker	neg	-1	0.0	element_of	category	page
Organizational_cybernetics	Quality_function_deployment	pos_pageof_organization	-1	0.6	element_of	category	page
Tornado	Expected_shortfall	neg	-1	0.0	element_of	category	page
Tornado	Bridged_T_delay_equaliser	neg	-1	0.0	element_of	category	page
Linear_filters	Ensemble_Kalman_filter	pos_pageof_linear_filte	-1	0.8	element_of	category	page
Television_stations	List_of_wavelet-related_transforms	neg	-1	0.0	element_of	category	page
Television_stations	Minimum-cost_flow_problem	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Composite_image_filter	neg	-1	0.0	element_of	category	page
Linear_programming	Criss-cross_algorithm	pos_pageof_linear_progr	-1	1.0	element_of	category	page
Cooking	Electrokinetic_phenomena	neg	-1	0.0	element_of	category	page
Feudalism	Set_partitioning_in_hierarchical_trees	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Band-pass_filter	neg	-1	0.0	element_of	category	page
Tornado	Digital_biquad_filter	neg	-1	0.0	element_of	category	page
Feudalism	Band-stop_filter	neg	-1	0.0	element_of	category	page
Wavelets	Refinable_function	pos_pageof_wavelets	-1	0.8	element_of	category	page
Wavelets	Fractional_wavelet_transform	pos_pageof_wavelets	-1	0.8	element_of	category	page
Television_stations	Slack_variable	neg	-1	0.0	element_of	category	page
Feudalism	H-theorem	neg	-1	0.0	element_of	category	page
Feudalism	Nonequilibrium_partition_identity	neg	-1	0.0	element_of	category	page
Packing_problems	Kissing_number	pos_pageof_packing_prob	-1	1.0	element_of	category	page
Television_stations	Slothouber–Graatsma_puzzle	neg	-1	0.0	element_of	category	page
Wavelets	Discrete_wavelet_transform	pos_pageof_wavelets	-1	1.0	element_of	category	page
Linear_filters	Gaussian_filter	pos_pageof_linear_filte	-1	1.0	element_of	category	page
Wavelets	JPEG_2000	pos_pageof_wavelets	-1	0.6	element_of	category	page
Model_checkers	TAPAs_model_checker	pos_pageof_model_checke	-1	1.0	element_of	category	page
1978_albums	Jean_Morlet	neg	-1	0.0	element_of	category	page
Linear_filters	Achieser–Zolotarev_filter	pos_pageof_linear_filte	-1	0.8	element_of	category	page
1978_albums	Transition_band	neg	-1	0.0	element_of	category	page
Chess_openings	Cooperative_bargaining	neg	-1	0.0	element_of	category	page
Feudalism	Multi-core_network_packet_steering	neg	-1	0.0	element_of	category	page
Cooking	Fast_wavelet_transform	neg	-1	0.0	element_of	category	page
Medieval_knights	Pixlet	neg	-1	0.0	element_of	category	page
Cooking	Anti-aliasing_filter	neg	-1	0.0	element_of	category	page
Tornado	Total_institution	neg	-1	0.0	element_of	category	page
Packing_problems	Tripod_packing	pos_pageof_packing_prob	-1	0.8	element_of	category	page
Tornado	Active_filter	neg	-1	0.0	element_of	category	page
Linear_filters	Gammatone_filter	pos_pageof_linear_filte	-1	0.8	element_of	category	page
1978_albums	LP-type_problem	neg	-1	0.0	element_of	category	page
Feudalism	Packing_density	neg	-1	0.0	element_of	category	page
Chess_openings	Benson's_algorithm	neg	-1	0.0	element_of	category	page
1978_albums	Kissing_number	neg	-1	0.0	element_of	category	page
Galaxies	High-pass_filter	neg	-1	0.0	element_of	category	page
Packing_problems	Sphere_packing	pos_pageof_packing_prob	-1	1.0	element_of	category	page
Linear_filters	Quarter-wave_impedance_transformer	pos_pageof_linear_filte	-1	0.6	element_of	category	page
Linear_filters	Antimetric_electrical_network	pos_pageof_linear_filte	-1	0.6	element_of	category	page
Galaxies	Apollonian_sphere_packing	neg	-1	0.0	element_of	category	page
Chess_openings	Thermophoresis	neg	-1	0.0	element_of	category	page
Feudalism	Assignment_problem	neg	-1	0.0	element_of	category	page
Television_stations	Basic_feasible_solution	neg	-1	0.0	element_of	category	page
Linear_programming	Multi-objective_linear_programming	pos_pageof_linear_progr	-1	0.8	element_of	category	page
Cooking	Minimum_relevant_variables_in_linear_system	neg	-1	0.0	element_of	category	page
Chess_openings	Lattice_delay_network	neg	-1	0.0	element_of	category	page
Tornado	Band-pass_filter	neg	-1	0.0	element_of	category	page
Feudalism	Romeo_Model_Checker	neg	-1	0.0	element_of	category	page
Cooking	Coiflet	neg	-1	0.0	element_of	category	page
Television_stations	The_Pursuit_of_Perfect_Packing	neg	-1	0.0	element_of	category	page
Non-equilibrium_thermodynamics	Exergy_efficiency	pos_pageof_non-equilibr	-1	0.6	element_of	category	page
Tornado	Top-hat_filter	neg	-1	0.0	element_of	category	page
Model_checkers	Libdmc	pos_pageof_model_checke	-1	1.0	element_of	category	page
Comedians	Two-dimensional_gas	neg	-1	0.0	element_of	category	page
Feudalism	Audio_equalization	neg	-1	0.0	element_of	category	page
Chess_openings	Image_filter_end_terminations	neg	-1	0.0	element_of	category	page
1978_albums	Belousov–Zhabotinsky_reaction	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Coiflet	neg	-1	0.0	element_of	category	page
Wavelets	List_of_wavelet-related_transforms	pos_pageof_wavelets	-1	1.0	element_of	category	page
Television_stations	Polygon_partition	neg	-1	0.0	element_of	category	page
Medieval_knights	Zero-point_energy	neg	-1	0.0	element_of	category	page
Bargaining_theory	Rubinstein_bargaining_model	pos_pageof_bargaining_t	-1	1.0	element_of	category	page
Chess_openings	Ellipsoid_method	neg	-1	0.0	element_of	category	page
Feudalism	Bessel_filter	neg	-1	0.0	element_of	category	page
1978_albums	Linear_programming_relaxation	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Dissipative_system	neg	-1	0.0	element_of	category	page
Tornado	Duality_gap	neg	-1	0.0	element_of	category	page
Tornado	Low-pass_filter	neg	-1	0.0	element_of	category	page
Non-equilibrium_thermodynamics	BBGKY_hierarchy	pos_pageof_non-equilibr	-1	0.8	element_of	category	page
Filter_frequency_response	Bandwidth_(signal_processing)	pos_pageof_filter_frequ	-1	1.0	element_of	category	page
Tornado	Revised_simplex_method	neg	-1	0.0	element_of	category	page
Model_checkers	Uppaal_Model_Checker	pos_pageof_model_checke	-1	1.0	element_of	category	page
Linear_filters	Gabor_filter	pos_pageof_linear_filte	-1	1.0	element_of	category	page
Chess_openings	Criss-cross_algorithm	neg	-1	0.0	element_of	category	page
Non-equilibrium_thermodynamics	Detailed_balance	pos_pageof_non-equilibr	-1	0.8	element_of	category	page
Galaxies	Promela	neg	-1	0.0	element_of	category	page
Feudalism	Integer_points_in_convex_polyhedra	neg	-1	0.0	element_of	category	page
Non-equilibrium_thermodynamics	Chemical_clock	pos_pageof_non-equilibr	-1	0.6	element_of	category	page
Comedians	Polyphase_matrix	neg	-1	0.0	element_of	category	page
Linear_programming	Basic_solution_(linear_programming)	pos_pageof_linear_progr	-1	1.0	element_of	category	page
Wavelets	Wavelet_modulation	pos_pageof_wavelets	-1	0.8	element_of	category	page
Filter_frequency_response	Transition_band	pos_pageof_filter_frequ	-1	1.0	element_of	category	page
Galaxies	Curvelet	neg	-1	0.0	element_of	category	page
Tornado	Shearlet	neg	-1	0.0	element_of	category	page
Cooking	Packing_density	neg	-1	0.0	element_of	category	page
Linear_filters	Polyphase_quadrature_filter	pos_pageof_linear_filte	-1	0.8	element_of	category	page
Linear_filters	Unscented_transform	pos_pageof_linear_filte	-1	0.6	element_of	category	page
Medieval_knights	Multi-commodity_flow_problem	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Cooperative_bargaining	neg	-1	0.0	element_of	category	page
1978_albums	Stationary_wavelet_transform	neg	-1	0.0	element_of	category	page
Chess_openings	Modified_Morlet_wavelet	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Multiresolution_analysis	neg	-1	0.0	element_of	category	page
Cooking	Push–relabel_maximum_flow_algorithm	neg	-1	0.0	element_of	category	page
Tornado	Sphere_packing_in_a_sphere	neg	-1	0.0	element_of	category	page
Linear_filters	Waveguide_filter	pos_pageof_linear_filte	-1	0.8	element_of	category	page
Wavelets	Progressive_Graphics_File	pos_pageof_wavelets	-1	0.4	element_of	category	page
Feudalism	Mathieu_wavelet	neg	-1	0.0	element_of	category	page
Feudalism	MPS_(format)	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Internal_environment	neg	-1	0.0	element_of	category	page
Feudalism	GENERIC_formalism	neg	-1	0.0	element_of	category	page
Wavelets	Wavelet_packet_decomposition	pos_pageof_wavelets	-1	0.8	element_of	category	page
Feudalism	Optimum_"L"_filter	neg	-1	0.0	element_of	category	page
Non-equilibrium_thermodynamics	GENERIC_formalism	pos_pageof_non-equilibr	-1	0.8	element_of	category	page
Television_stations	Fluctuation–dissipation_theorem	neg	-1	0.0	element_of	category	page
Feudalism	Log_Gabor_filter	neg	-1	0.0	element_of	category	page
Chess_openings	Scale_co-occurrence_matrix	neg	-1	0.0	element_of	category	page
Feudalism	Switching_Kalman_filter	neg	-1	0.0	element_of	category	page
Model_checkers	Construction_and_Analysis_of_Distributed_Processes	pos_pageof_model_checke	-1	1.0	element_of	category	page
Medieval_knights	Lattice_delay_network	neg	-1	0.0	element_of	category	page
Tornado	ICER_(file_format)	neg	-1	0.0	element_of	category	page
Model_checkers	FDR_(software)	pos_pageof_model_checke	-1	1.0	element_of	category	page
1978_albums	Linkwitz–Riley_filter	neg	-1	0.0	element_of	category	page
1978_albums	The_Functions_of_the_Executive	neg	-1	0.0	element_of	category	page
Filter_frequency_response	High-pass_filter	pos_pageof_filter_frequ	-1	1.0	element_of	category	page
Chess_openings	Strong_duality	neg	-1	0.0	element_of	category	page
Cooking	Simplex_algorithm	neg	-1	0.0	element_of	category	page
Packing_problems	Tetrahedron_packing	pos_pageof_packing_prob	-1	0.8	element_of	category	page
Model_checkers	NuSMV	pos_pageof_model_checke	-1	1.0	element_of	category	page
Wavelets	Filter_bank	pos_pageof_wavelets	-1	0.8	element_of	category	page
Television_stations	Fast_Kalman_filter	neg	-1	0.0	element_of	category	page
Galaxies	Klee–Minty_cube	neg	-1	0.0	element_of	category	page
Linear_filters	High-pass_filter	pos_pageof_linear_filte	-1	1.0	element_of	category	page
1978_albums	Dynamic_link_matching	neg	-1	0.0	element_of	category	page
Feudalism	Autopoiesis	neg	-1	0.0	element_of	category	page
1978_albums	Poisson_wavelet	neg	-1	0.0	element_of	category	page
Non-equilibrium_thermodynamics	Two-dimensional_liquid	pos_pageof_non-equilibr	-1	0.6	element_of	category	page
Cooking	Linear_programming	neg	-1	0.0	element_of	category	page
Tornado	NuSMV	neg	-1	0.0	element_of	category	page
Tornado	Linear-fractional_programming	neg	-1	0.0	element_of	category	page
Galaxies	Briggs–Rauscher_reaction	neg	-1	0.0	element_of	category	page
Feudalism	Autonomy	neg	-1	0.0	element_of	category	page
Feudalism	Slothouber–Graatsma_puzzle	neg	-1	0.0	element_of	category	page
Tornado	Smoothing_problem_(stochastic_processes)	neg	-1	0.0	element_of	category	page
Non-equilibrium_thermodynamics	Chemical_oscillator	pos_pageof_non-equilibr	-1	0.8	element_of	category	page
Non-equilibrium_thermodynamics	Extended_irreversible_thermodynamics	pos_pageof_non-equilibr	-1	0.8	element_of	category	page
1978_albums	Theory_of_two-level_planning	neg	-1	0.0	element_of	category	page
Tornado	Basic_solution_(linear_programming)	neg	-1	0.0	element_of	category	page
Tornado	Minimum-cost_flow_problem	neg	-1	0.0	element_of	category	page
Linear_programming	Benson's_algorithm	pos_pageof_linear_progr	-1	1.0	element_of	category	page
Linear_filters	Mechanical_filter	pos_pageof_linear_filte	-1	0.8	element_of	category	page
Linear_programming	Gurobi_Optimizer	pos_pageof_linear_progr	-1	0.8	element_of	category	page
Packing_problems	Ulam's_packing_conjecture	pos_pageof_packing_prob	-1	1.0	element_of	category	page
Wavelets	Harmonic_wavelet_transform	pos_pageof_wavelets	-1	0.8	element_of	category	page
Cooking	Non-linear_multi-dimensional_signal_processing	neg	-1	0.0	element_of	category	page
Linear_programming	Vertex_enumeration_problem	pos_pageof_linear_progr	-1	0.8	element_of	category	page
Comedians	Green–Kubo_relations	neg	-1	0.0	element_of	category	page
Galaxies	ICER_(file_format)	neg	-1	0.0	element_of	category	page
1978_albums	Roll-off	neg	-1	0.0	element_of	category	page
Non-equilibrium_thermodynamics	Non-equilibrium_thermodynamics	pos_pageof_non-equilibr	-1	1.0	element_of	category	page
Public_toilets_automation	Autonomy	neg	-1	0.0	element_of	category	page
Linear_filters	Filter_bank	pos_pageof_linear_filte	-1	0.8	element_of	category	page
Galaxies	Modified_Morlet_wavelet	neg	-1	0.0	element_of	category	page
Cooking	Affine_scaling	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Total_dual_integrality	neg	-1	0.0	element_of	category	page
Chess_openings	Bartlett's_bisection_theorem	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Bandelet_(computer_science)	neg	-1	0.0	element_of	category	page
Chess_openings	Reduced_cost	neg	-1	0.0	element_of	category	page
Feudalism	Reduced_cost	neg	-1	0.0	element_of	category	page
Medieval_knights	Oregonator	neg	-1	0.0	element_of	category	page
1978_albums	Raised-cosine_filter	neg	-1	0.0	element_of	category	page
1978_albums	OGSM	neg	-1	0.0	element_of	category	page
Linear_programming	Set_cover_problem	pos_pageof_linear_progr	-1	0.6	element_of	category	page
Feudalism	Non-separable_wavelet	neg	-1	0.0	element_of	category	page
Linear_filters	Recursive_Bayesian_estimation	pos_pageof_linear_filte	-1	0.6	element_of	category	page
Feudalism	Coiflet	neg	-1	0.0	element_of	category	page
Linear_programming	Integer_points_in_convex_polyhedra	pos_pageof_linear_progr	-1	0.8	element_of	category	page
1978_albums	Sphere_packing	neg	-1	0.0	element_of	category	page
Galaxies	Chemical_clock	neg	-1	0.0	element_of	category	page
Wavelets	Modified_Morlet_wavelet	pos_pageof_wavelets	-1	0.8	element_of	category	page
Linear_filters	Transmission_zeroes	pos_pageof_linear_filte	-1	0.6	element_of	category	page
Cooking	Revised_simplex_method	neg	-1	0.0	element_of	category	page
Feudalism	Cutting_stock_problem	neg	-1	0.0	element_of	category	page
Packing_problems	Knapsack_problem	pos_pageof_packing_prob	-1	0.4	element_of	category	page
Linear_filters	Low-pass_filter	pos_pageof_linear_filte	-1	1.0	element_of	category	page
Network_flow_problem	Argus_–_Audit_Record_Generation_and_Utilization_System	pos_pageof_network_flow	-1	0.0	element_of	category	page
Linear_programming	Slack_variable	pos_pageof_linear_progr	-1	0.8	element_of	category	page
Galaxies	Quarter-wave_impedance_transformer	neg	-1	0.0	element_of	category	page
Television_stations	Omega_ratio	neg	-1	0.0	element_of	category	page
Feudalism	Sequential_bargaining	neg	-1	0.0	element_of	category	page
Galaxies	Composite_image_filter	neg	-1	0.0	element_of	category	page
Public_toilets_automation	State_variable_filter	neg	-1	0.0	element_of	category	page
Linear_filters	Log_Gabor_filter	pos_pageof_linear_filte	-1	0.8	element_of	category	page
Public_toilets_automation	Multi-core_network_packet_steering	neg	-1	0.0	element_of	category	page
Cooking	Non-separable_wavelet	neg	-1	0.0	element_of	category	page
Wavelets	Non-separable_wavelet	pos_pageof_wavelets	-1	0.8	element_of	category	page
Comedians	Total_dual_integrality	neg	-1	0.0	element_of	category	page
Chess_openings	Conway_puzzle	neg	-1	0.0	element_of	category	page
Network_flow_problem	Dinic's_algorithm	pos_pageof_network_flow	-1	1.0	element_of	category	page
Linear_filters	Capacitor-input_filter	pos_pageof_linear_filte	-1	0.8	element_of	category	page
Wavelets	Generalized_lifting	pos_pageof_wavelets	-1	0.8	element_of	category	page
Medieval_knights	Franchising	neg	-1	0.0	element_of	category	page
1978_albums	Second_law_of_thermodynamics	neg	-1	0.0	element_of	category	page
Linear_programming	Drawdown_(economics)	pos_pageof_linear_progr	-1	0.4	element_of	category	page
Comedians	Square_packing	neg	-1	0.0	element_of	category	page
Filter_frequency_response	Roll-off	pos_pageof_filter_frequ	-1	1.0	element_of	category	page
Galaxies	Push–relabel_maximum_flow_algorithm	neg	-1	0.0	element_of	category	page
Non-equilibrium_thermodynamics	Quantum_thermodynamics	pos_pageof_non-equilibr	-1	0.8	element_of	category	page
Galaxies	Ensemble_Kalman_filter	neg	-1	0.0	element_of	category	page
Wavelets	Jean_Morlet	pos_pageof_wavelets	-1	1.0	element_of	category	page
1978_albums	Graver_basis	neg	-1	0.0	element_of	category	page
Chess_openings	Gurobi_Optimizer	neg	-1	0.0	element_of	category	page
Non-equilibrium_thermodynamics	Oregonator	pos_pageof_non-equilibr	-1	0.6	element_of	category	page
Medieval_knights	Sphere_packing_in_a_cube	neg	-1	0.0	element_of	category	page
Network_flow_problem	Multi-commodity_flow_problem	pos_pageof_network_flow	-1	1.0	element_of	category	page
Public_toilets_automation	Rubinstein_bargaining_model	neg	-1	0.0	element_of	category	page
Television_stations	Recursive_Bayesian_estimation	neg	-1	0.0	element_of	category	page
Linear_programming	Simplex_algorithm	pos_pageof_linear_progr	-1	1.0	element_of	category	page
Cooking	Flow_network	neg	-1	0.0	element_of	category	page
Tornado	Two-dimensional_gas	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Modified_Morlet_wavelet	neg	-1	0.0	element_of	category	page
Linear_filters	Lattice_phase_equaliser	pos_pageof_linear_filte	-1	0.8	element_of	category	page
Linear_programming	Hirsch_conjecture	pos_pageof_linear_progr	-1	1.0	element_of	category	page
Galaxies	LP-type_problem	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Recursive_Bayesian_estimation	neg	-1	0.0	element_of	category	page
Medieval_knights	Effects_bargaining	neg	-1	0.0	element_of	category	page
Cooking	Multigrid_method	neg	-1	0.0	element_of	category	page
Feudalism	Frenesy_(physics)	neg	-1	0.0	element_of	category	page
Comedians	Vanishing_moment	neg	-1	0.0	element_of	category	page
Galaxies	Cascade_algorithm	neg	-1	0.0	element_of	category	page
Chess_openings	Band-pass_filter	neg	-1	0.0	element_of	category	page
Feudalism	Hoffman's_packing_puzzle	neg	-1	0.0	element_of	category	page
Wavelets	Complex_wavelet_transform	pos_pageof_wavelets	-1	0.8	element_of	category	page
