# page-membership gap-fill (find_data_gaps targets; MediaWiki API; Haiku centrality). relation=element_of. cols: a	b	stratum	wl	mu	relation	a_type	b_type
Medieval_knights	Sallen–Key_topology	neg	-1	0.0	element_of	category	page
Television_stations	Onsager_reciprocal_relations	neg	-1	0.0	element_of	category	page
Television_stations	Crooks_fluctuation_theorem	neg	-1	0.0	element_of	category	page
Comedians	Recursive_Bayesian_estimation	neg	-1	0.0	element_of	category	page
Television_stations	Network-centric_organization	neg	-1	0.0	element_of	category	page
Galaxies	Edmonds–Karp_algorithm	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Linear_programming	neg	-1	0.0	element_of	category	page
Medieval_knights	Bandwidth_(signal_processing)	neg	-1	0.0	element_of	category	page
Linear_filters	Fast_Kalman_filter	pos_pageof_linear_filte	-1	0.8	element_of	category	page
Linear_programming	MPS_(format)	pos_pageof_linear_progr	-1	0.6	element_of	category	page
Filter_frequency_response	Filter_transition_region	pos_pageof_filter_frequ	-1	0.8	element_of	category	page
Tornado	List_of_shapes_with_known_packing_constant	neg	-1	0.0	element_of	category	page
Public_toilets_automation	The_Functions_of_the_Executive	neg	-1	0.0	element_of	category	page
Feudalism	Bargaining_power	neg	-1	0.0	element_of	category	page
Model_checkers	Promela	pos_pageof_model_checke	-1	0.8	element_of	category	page
Linear_programming	Fundamental_theorem_of_linear_programming	pos_pageof_linear_progr	-1	1.0	element_of	category	page
Linear_filters	Covariance_intersection	pos_pageof_linear_filte	-1	0.6	element_of	category	page
Tornado	Butterworth_filter	neg	-1	0.0	element_of	category	page
Feudalism	The_Functions_of_the_Executive	neg	-1	0.0	element_of	category	page
Chess_openings	Push–relabel_maximum_flow_algorithm	neg	-1	0.0	element_of	category	page
Feudalism	Active_filter	neg	-1	0.0	element_of	category	page
Network_flow_problem	Circulation_problem	pos_pageof_network_flow	-1	0.8	element_of	category	page
Chess_openings	Stigler_diet	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Chemical_oscillator	neg	-1	0.0	element_of	category	page
Galaxies	Flow_network	neg	-1	0.0	element_of	category	page
Organizational_cybernetics	Adaptive_system	pos_pageof_organization	-1	0.8	element_of	category	page
Galaxies	Gurobi_Optimizer	neg	-1	0.0	element_of	category	page
Network_flow_problem	Minimum-cost_flow_problem	pos_pageof_network_flow	-1	0.8	element_of	category	page
Public_toilets_automation	List_of_shapes_with_known_packing_constant	neg	-1	0.0	element_of	category	page
Cooking	Switching_Kalman_filter	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Crystal_filter	neg	-1	0.0	element_of	category	page
1978_albums	Low-pass_filter	neg	-1	0.0	element_of	category	page
Comedians	Stationary_wavelet_transform	neg	-1	0.0	element_of	category	page
Cooking	Meyer_wavelet	neg	-1	0.0	element_of	category	page
Bargaining_theory	Bargaining	pos_pageof_bargaining_t	-1	1.0	element_of	category	page
Cooking	Promela	neg	-1	0.0	element_of	category	page
Galaxies	Digital_biquad_filter	neg	-1	0.0	element_of	category	page
1978_albums	Soft_sensor	neg	-1	0.0	element_of	category	page
Medieval_knights	Slack_variable	neg	-1	0.0	element_of	category	page
Non-equilibrium_thermodynamics	H-theorem	pos_pageof_non-equilibr	-1	0.8	element_of	category	page
Galaxies	Rubinstein_bargaining_model	neg	-1	0.0	element_of	category	page
1978_albums	Perturbation_function	neg	-1	0.0	element_of	category	page
Network_flow_problem	Network_simplex_algorithm	pos_pageof_network_flow	-1	0.8	element_of	category	page
Filter_frequency_response	Band-pass_filter	pos_pageof_filter_frequ	-1	1.0	element_of	category	page
Cooking	Chebyshev_filter	neg	-1	0.0	element_of	category	page
Comedians	Integer_points_in_convex_polyhedra	neg	-1	0.0	element_of	category	page
Wavelets	Stationary_wavelet_transform	pos_pageof_wavelets	-1	0.8	element_of	category	page
Chess_openings	Packing_problems	neg	-1	0.0	element_of	category	page
Comedians	Raised-cosine_filter	neg	-1	0.0	element_of	category	page
Packing_problems	Hoffman's_packing_puzzle	pos_pageof_packing_prob	-1	0.6	element_of	category	page
Public_toilets_automation	Non-separable_wavelet	neg	-1	0.0	element_of	category	page
Comedians	Dual_wavelet	neg	-1	0.0	element_of	category	page
Chess_openings	Integer_points_in_convex_polyhedra	neg	-1	0.0	element_of	category	page
Comedians	Construction_and_Analysis_of_Distributed_Processes	neg	-1	0.0	element_of	category	page
Chess_openings	Bandelet_(computer_science)	neg	-1	0.0	element_of	category	page
1978_albums	Total_dual_integrality	neg	-1	0.0	element_of	category	page
Linear_programming	Linear_programming	pos_pageof_linear_progr	-1	1.0	element_of	category	page
Cooking	Filter_bank	neg	-1	0.0	element_of	category	page
Television_stations	Band_rejection	neg	-1	0.0	element_of	category	page
Packing_problems	Cutting_stock_problem	pos_pageof_packing_prob	-1	0.8	element_of	category	page
Television_stations	Linear_programming	neg	-1	0.0	element_of	category	page
Comedians	Fluctuation_theorem	neg	-1	0.0	element_of	category	page
Chess_openings	Job_embeddedness	neg	-1	0.0	element_of	category	page
Linear_filters	Commensurate_line_circuit	pos_pageof_linear_filte	-1	0.6	element_of	category	page
Public_toilets_automation	Kalman_filter	neg	-1	0.0	element_of	category	page
Tornado	Quadrature_mirror_filter	neg	-1	0.0	element_of	category	page
Chess_openings	ICER_(file_format)	neg	-1	0.0	element_of	category	page
Wavelets	Fast_wavelet_transform	pos_pageof_wavelets	-1	1.0	element_of	category	page
Non-equilibrium_thermodynamics	Zero-point_energy	pos_pageof_non-equilibr	-1	0.6	element_of	category	page
Linear_filters	Composite_image_filter	pos_pageof_linear_filte	-1	0.6	element_of	category	page
Medieval_knights	Network_synthesis_filters	neg	-1	0.0	element_of	category	page
Network_flow_problem	Out-of-kilter_algorithm	pos_pageof_network_flow	-1	0.8	element_of	category	page
Linear_programming	Linear_inequality	pos_pageof_linear_progr	-1	0.8	element_of	category	page
Linear_filters	Elliptic_filter	pos_pageof_linear_filte	-1	0.8	element_of	category	page
Comedians	Generalized_filtering	neg	-1	0.0	element_of	category	page
Television_stations	Refinable_function	neg	-1	0.0	element_of	category	page
Cooking	Semilinear_response	neg	-1	0.0	element_of	category	page
Comedians	Gomory–Hu_tree	neg	-1	0.0	element_of	category	page
Feudalism	Electrokinetic_phenomena	neg	-1	0.0	element_of	category	page
Wavelets	Gabor_wavelet	pos_pageof_wavelets	-1	0.8	element_of	category	page
1978_albums	MCRL2	neg	-1	0.0	element_of	category	page
Galaxies	Gaussian_filter	neg	-1	0.0	element_of	category	page
1978_albums	Digital_biquad_filter	neg	-1	0.0	element_of	category	page
Non-equilibrium_thermodynamics	Brusselator	pos_pageof_non-equilibr	-1	0.8	element_of	category	page
Wavelets	Wavelet_transform_modulus_maxima_method	pos_pageof_wavelets	-1	0.8	element_of	category	page
1978_albums	Smoothed_octagon	neg	-1	0.0	element_of	category	page
Chess_openings	Polygon_partition	neg	-1	0.0	element_of	category	page
Tornado	Onsager_reciprocal_relations	neg	-1	0.0	element_of	category	page
Comedians	Bode_plot	neg	-1	0.0	element_of	category	page
Linear_programming	Duality_gap	pos_pageof_linear_progr	-1	0.8	element_of	category	page
Medieval_knights	Gabor_filter	neg	-1	0.0	element_of	category	page
Feudalism	Bandelet_(computer_science)	neg	-1	0.0	element_of	category	page
Cooking	Time_crystal	neg	-1	0.0	element_of	category	page
Linear_filters	Kalman_filter	pos_pageof_linear_filte	-1	1.0	element_of	category	page
Non-equilibrium_thermodynamics	Thermal_transpiration	pos_pageof_non-equilibr	-1	0.6	element_of	category	page
Chess_openings	BLAST_model_checker	neg	-1	0.0	element_of	category	page
Comedians	Brusselator	neg	-1	0.0	element_of	category	page
Galaxies	Cooperative_bargaining	neg	-1	0.0	element_of	category	page
Cooking	Ellipsoid_method	neg	-1	0.0	element_of	category	page
Non-equilibrium_thermodynamics	Maximum_entropy_thermodynamics	pos_pageof_non-equilibr	-1	0.8	element_of	category	page
Non-equilibrium_thermodynamics	Noise-induced_order	pos_pageof_non-equilibr	-1	0.6	element_of	category	page
Galaxies	Low-pass_filter	neg	-1	0.0	element_of	category	page
Chess_openings	Dissipation	neg	-1	0.0	element_of	category	page
Wavelets	Lifting_scheme	pos_pageof_wavelets	-1	0.8	element_of	category	page
Feudalism	Apollonian_sphere_packing	neg	-1	0.0	element_of	category	page
Linear_filters	Gyrator	pos_pageof_linear_filte	-1	0.6	element_of	category	page
Galaxies	Basic_solution_(linear_programming)	neg	-1	0.0	element_of	category	page
Chess_openings	Antimetric_electrical_network	neg	-1	0.0	element_of	category	page
Comedians	Data_envelopment_analysis	neg	-1	0.0	element_of	category	page
Television_stations	Wavelet	neg	-1	0.0	element_of	category	page
Cooking	Uppaal_Model_Checker	neg	-1	0.0	element_of	category	page
Galaxies	Prune_and_search	neg	-1	0.0	element_of	category	page
Feudalism	Kepler_conjecture	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Waveguide_filter	neg	-1	0.0	element_of	category	page
Cooking	Quadrature_mirror_filter	neg	-1	0.0	element_of	category	page
Linear_programming	Linear_programming_decoding	pos_pageof_linear_progr	-1	0.8	element_of	category	page
Galaxies	Max-flow_min-cut_theorem	neg	-1	0.0	element_of	category	page
Non-equilibrium_thermodynamics	Frenesy_(physics)	pos_pageof_non-equilibr	-1	0.6	element_of	category	page
Comedians	Network-centric_organization	neg	-1	0.0	element_of	category	page
Television_stations	Gabor_filter	neg	-1	0.0	element_of	category	page
Comedians	Wavelet_transform_modulus_maxima_method	neg	-1	0.0	element_of	category	page
Linear_filters	All-pass_filter	pos_pageof_linear_filte	-1	0.8	element_of	category	page
Public_toilets_automation	Franchising	neg	-1	0.0	element_of	category	page
Comedians	Bargaining_power	neg	-1	0.0	element_of	category	page
Linear_programming	Big_M_method	pos_pageof_linear_progr	-1	0.8	element_of	category	page
Non-equilibrium_thermodynamics	Néel_relaxation_theory	pos_pageof_non-equilibr	-1	0.6	element_of	category	page
Network_flow_problem	Maximum_flow_problem	pos_pageof_network_flow	-1	1.0	element_of	category	page
Comedians	Autopoiesis	neg	-1	0.0	element_of	category	page
Non-equilibrium_thermodynamics	Autocatalytic_reaction	pos_pageof_non-equilibr	-1	0.6	element_of	category	page
Wavelets	Symlet	pos_pageof_wavelets	-1	0.8	element_of	category	page
Medieval_knights	Chemical_oscillator	neg	-1	0.0	element_of	category	page
Galaxies	Benson's_algorithm	neg	-1	0.0	element_of	category	page
Non-equilibrium_thermodynamics	Jarzynski_equality	pos_pageof_non-equilibr	-1	0.8	element_of	category	page
Public_toilets_automation	Gabor_atom	neg	-1	0.0	element_of	category	page
Medieval_knights	Packing_density	neg	-1	0.0	element_of	category	page
Linear_filters	Band-stop_filter	pos_pageof_linear_filte	-1	1.0	element_of	category	page
Organizational_cybernetics	Job_embeddedness	pos_pageof_organization	-1	0.4	element_of	category	page
Tornado	Stigler_diet	neg	-1	0.0	element_of	category	page
Television_stations	Chemical_oscillator	neg	-1	0.0	element_of	category	page
Non-equilibrium_thermodynamics	Time_crystal	pos_pageof_non-equilibr	-1	0.4	element_of	category	page
Galaxies	Fractional_wavelet_transform	neg	-1	0.0	element_of	category	page
Cooking	Quadratic_knapsack_problem	neg	-1	0.0	element_of	category	page
Medieval_knights	Vanishing_moment	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Antimetric_electrical_network	neg	-1	0.0	element_of	category	page
Linear_programming	Mehrotra_predictor–corrector_method	pos_pageof_linear_progr	-1	0.8	element_of	category	page
Cooking	Total_dual_integrality	neg	-1	0.0	element_of	category	page
Television_stations	Network_synthesis_filters	neg	-1	0.0	element_of	category	page
Public_toilets_automation	SPIN_model_checker	neg	-1	0.0	element_of	category	page
Linear_filters	Top-hat_filter	pos_pageof_linear_filte	-1	0.6	element_of	category	page
Non-equilibrium_thermodynamics	Crooks_fluctuation_theorem	pos_pageof_non-equilibr	-1	0.8	element_of	category	page
Television_stations	Intra-household_bargaining	neg	-1	0.0	element_of	category	page
Comedians	MPS_(format)	neg	-1	0.0	element_of	category	page
Packing_problems	Smoothed_octagon	pos_pageof_packing_prob	-1	0.6	element_of	category	page
Non-equilibrium_thermodynamics	Second_law_of_thermodynamics	pos_pageof_non-equilibr	-1	1.0	element_of	category	page
Linear_filters	Network_synthesis_filters	pos_pageof_linear_filte	-1	0.8	element_of	category	page
Packing_problems	Apollonian_sphere_packing	pos_pageof_packing_prob	-1	0.8	element_of	category	page
Linear_programming	HiGHS_optimization_solver	pos_pageof_linear_progr	-1	0.8	element_of	category	page
Public_toilets_automation	Apollonian_sphere_packing	neg	-1	0.0	element_of	category	page
Bargaining_theory	Intra-household_bargaining	pos_pageof_bargaining_t	-1	0.8	element_of	category	page
Wavelets	Wavelet	pos_pageof_wavelets	-1	1.0	element_of	category	page
Public_toilets_automation	Detailed_balance	neg	-1	0.0	element_of	category	page
Medieval_knights	Hilbert_basis_(linear_programming)	neg	-1	0.0	element_of	category	page
Television_stations	Time_crystal	neg	-1	0.0	element_of	category	page
Packing_problems	Square_packing	pos_pageof_packing_prob	-1	0.8	element_of	category	page
Non-equilibrium_thermodynamics	Thermophoresis	pos_pageof_non-equilibr	-1	0.6	element_of	category	page
Linear_programming	Prune_and_search	pos_pageof_linear_progr	-1	0.6	element_of	category	page
Public_toilets_automation	Generalized_hydrodynamics	neg	-1	0.0	element_of	category	page
Television_stations	H-theorem	neg	-1	0.0	element_of	category	page
Wavelets	Dynamic_link_matching	pos_pageof_wavelets	-1	0.4	element_of	category	page
Wavelets	Gabor_atom	pos_pageof_wavelets	-1	0.8	element_of	category	page
Linear_filters	Prototype_filter	pos_pageof_linear_filte	-1	0.8	element_of	category	page
Packing_problems	The_Pursuit_of_Perfect_Packing	pos_pageof_packing_prob	-1	0.2	element_of	category	page
Network_flow_problem	Multi-core_network_packet_steering	pos_pageof_network_flow	-1	0.4	element_of	category	page
Galaxies	Smoothing_problem_(stochastic_processes)	neg	-1	0.0	element_of	category	page
Non-equilibrium_thermodynamics	Sedimentation_potential	pos_pageof_non-equilibr	-1	0.6	element_of	category	page
Linear_programming	Total_dual_integrality	pos_pageof_linear_progr	-1	0.8	element_of	category	page
Comedians	Network_flow_problem	neg	-1	0.0	element_of	category	page
Model_checkers	BLAST_model_checker	pos_pageof_model_checke	-1	0.8	element_of	category	page
Non-equilibrium_thermodynamics	Generalized_hydrodynamics	pos_pageof_non-equilibr	-1	0.8	element_of	category	page
Comedians	Dissipative_system	neg	-1	0.0	element_of	category	page
Linear_filters	Root-raised-cosine_filter	pos_pageof_linear_filte	-1	0.8	element_of	category	page
Medieval_knights	Log_Gabor_filter	neg	-1	0.0	element_of	category	page
Chess_openings	Wavelet_packet_decomposition	neg	-1	0.0	element_of	category	page
Medieval_knights	Cederbaum's_maximum_flow_theorem	neg	-1	0.0	element_of	category	page
Cooking	ICER_(file_format)	neg	-1	0.0	element_of	category	page
Galaxies	Wavelet_modulation	neg	-1	0.0	element_of	category	page
1978_albums	Maximum_flow_problem	neg	-1	0.0	element_of	category	page
Television_stations	Generalized_lifting	neg	-1	0.0	element_of	category	page
Television_stations	Total_institution	neg	-1	0.0	element_of	category	page
Galaxies	Internal_environment	neg	-1	0.0	element_of	category	page
Wavelets	Set_partitioning_in_hierarchical_trees	pos_pageof_wavelets	-1	0.6	element_of	category	page
Comedians	Kautz_filter	neg	-1	0.0	element_of	category	page
Galaxies	Bandwidth_(signal_processing)	neg	-1	0.0	element_of	category	page
Bargaining_theory	Bargaining_power	pos_pageof_bargaining_t	-1	0.8	element_of	category	page
Organizational_cybernetics	Franchising	pos_pageof_organization	-1	0.2	element_of	category	page
Linear_programming	Benders_decomposition	pos_pageof_linear_progr	-1	0.8	element_of	category	page
Wavelets	Scale_co-occurrence_matrix	pos_pageof_wavelets	-1	0.6	element_of	category	page
Model_checkers	PAT_(model_checker)	pos_pageof_model_checke	-1	0.8	element_of	category	page
Public_toilets_automation	Wavelet_transform	neg	-1	0.0	element_of	category	page
Tornado	Linear_programming_relaxation	neg	-1	0.0	element_of	category	page
1978_albums	Fractional_wavelet_transform	neg	-1	0.0	element_of	category	page
Feudalism	Basic_feasible_solution	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Max-flow_min-cut_theorem	neg	-1	0.0	element_of	category	page
Feudalism	Weak_duality	neg	-1	0.0	element_of	category	page
Medieval_knights	Strong_duality	neg	-1	0.0	element_of	category	page
Medieval_knights	Dinic's_algorithm	neg	-1	0.0	element_of	category	page
Linear_programming	Karmarkar's_algorithm	pos_pageof_linear_progr	-1	0.8	element_of	category	page
Medieval_knights	TAPAAL_Model_Checker	neg	-1	0.0	element_of	category	page
Chess_openings	Network-centric_organization	neg	-1	0.0	element_of	category	page
1978_albums	Braess's_paradox	neg	-1	0.0	element_of	category	page
Medieval_knights	List_of_shapes_with_known_packing_constant	neg	-1	0.0	element_of	category	page
Medieval_knights	Total_institution	neg	-1	0.0	element_of	category	page
Non-equilibrium_thermodynamics	Fluctuation_theorem	pos_pageof_non-equilibr	-1	1.0	element_of	category	page
Comedians	Linear_programming_relaxation	neg	-1	0.0	element_of	category	page
Feudalism	Linear_programming	neg	-1	0.0	element_of	category	page
Tornado	Thermal_transpiration	neg	-1	0.0	element_of	category	page
Comedians	Gabor_atom	neg	-1	0.0	element_of	category	page
1978_albums	Kautz_filter	neg	-1	0.0	element_of	category	page
Wavelets	ICER_(file_format)	pos_pageof_wavelets	-1	0.4	element_of	category	page
Linear_filters	Fraser_filter	pos_pageof_linear_filte	-1	0.8	element_of	category	page
Comedians	Configuration_linear_program	neg	-1	0.0	element_of	category	page
Comedians	Quantum_thermodynamics	neg	-1	0.0	element_of	category	page
Feudalism	Non-linear_multi-dimensional_signal_processing	neg	-1	0.0	element_of	category	page
Cooking	Extended_irreversible_thermodynamics	neg	-1	0.0	element_of	category	page
Filter_frequency_response	Band_rejection	pos_pageof_filter_frequ	-1	0.8	element_of	category	page
Non-equilibrium_thermodynamics	Belousov–Zhabotinsky_reaction	pos_pageof_non-equilibr	-1	0.8	element_of	category	page
Linear_filters	Soft_sensor	pos_pageof_linear_filte	-1	0.6	element_of	category	page
Linear_programming	Theory_of_two-level_planning	pos_pageof_linear_progr	-1	0.6	element_of	category	page
Television_stations	Moving_horizon_estimation	neg	-1	0.0	element_of	category	page
Galaxies	Zadeh's_rule	neg	-1	0.0	element_of	category	page
Comedians	State_variable_filter	neg	-1	0.0	element_of	category	page
Packing_problems	Sphere_packing_in_a_sphere	pos_pageof_packing_prob	-1	0.8	element_of	category	page
Comedians	GENERIC_formalism	neg	-1	0.0	element_of	category	page
Cooking	Maximum_entropy_thermodynamics	neg	-1	0.0	element_of	category	page
Wavelets	Contourlet	pos_pageof_wavelets	-1	0.8	element_of	category	page
Public_toilets_automation	Ellipsoid_packing	neg	-1	0.0	element_of	category	page
Network_flow_problem	Flow_network	pos_pageof_network_flow	-1	1.0	element_of	category	page
Linear_programming	Cashflow_matching	pos_pageof_linear_progr	-1	0.4	element_of	category	page
Feudalism	Meyer_wavelet	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Gyrator	neg	-1	0.0	element_of	category	page
Public_toilets_automation	All-pass_filter	neg	-1	0.0	element_of	category	page
Linear_filters	MPX_filter	pos_pageof_linear_filte	-1	0.6	element_of	category	page
Linear_programming	Semidefinite_programming	pos_pageof_linear_progr	-1	0.8	element_of	category	page
Tornado	Recursive_Bayesian_estimation	neg	-1	0.0	element_of	category	page
Medieval_knights	Benders_decomposition	neg	-1	0.0	element_of	category	page
Comedians	Rubinstein_bargaining_model	neg	-1	0.0	element_of	category	page
Linear_programming	Linear_programming_relaxation	pos_pageof_linear_progr	-1	0.8	element_of	category	page
Comedians	Kim_Guldstrand_Larsen	neg	-1	0.0	element_of	category	page
Cooking	Multiresolution_analysis	neg	-1	0.0	element_of	category	page
Medieval_knights	The_Pursuit_of_Perfect_Packing	neg	-1	0.0	element_of	category	page
1978_albums	Bandwidth_(signal_processing)	neg	-1	0.0	element_of	category	page
Medieval_knights	Anti-aliasing_filter	neg	-1	0.0	element_of	category	page
1978_albums	Bartlett's_bisection_theorem	neg	-1	0.0	element_of	category	page
Medieval_knights	Noise-induced_order	neg	-1	0.0	element_of	category	page
Chess_openings	Total_institution	neg	-1	0.0	element_of	category	page
Linear_filters	Lattice_delay_network	pos_pageof_linear_filte	-1	0.6	element_of	category	page
Linear_programming	Assignment_problem	pos_pageof_linear_progr	-1	0.8	element_of	category	page
Wavelets	Pixlet	pos_pageof_wavelets	-1	0.4	element_of	category	page
Linear_filters	State_variable_filter	pos_pageof_linear_filte	-1	0.8	element_of	category	page
Chess_openings	Filter_transition_region	neg	-1	0.0	element_of	category	page
Network_flow_problem	Cederbaum's_maximum_flow_theorem	pos_pageof_network_flow	-1	0.8	element_of	category	page
Television_stations	Duality_gap	neg	-1	0.0	element_of	category	page
Galaxies	Dantzig–Wolfe_decomposition	neg	-1	0.0	element_of	category	page
Non-equilibrium_thermodynamics	Nonequilibrium_partition_identity	pos_pageof_non-equilibr	-1	0.8	element_of	category	page
Medieval_knights	Mehrotra_predictor–corrector_method	neg	-1	0.0	element_of	category	page
Television_stations	Ellipsoid_packing	neg	-1	0.0	element_of	category	page
Linear_filters	Image_filter_end_terminations	pos_pageof_linear_filte	-1	0.6	element_of	category	page
Feudalism	Dirac_(video_compression_format)	neg	-1	0.0	element_of	category	page
Feudalism	Benson's_algorithm	neg	-1	0.0	element_of	category	page
1978_albums	Switching_Kalman_filter	neg	-1	0.0	element_of	category	page
Cooking	Big_M_method	neg	-1	0.0	element_of	category	page
Cooking	Kepler_conjecture	neg	-1	0.0	element_of	category	page
Feudalism	Extended_irreversible_thermodynamics	neg	-1	0.0	element_of	category	page
Wavelets	Wavelet_for_multidimensional_signals_analysis	pos_pageof_wavelets	-1	0.8	element_of	category	page
1978_albums	Electrokinetic_phenomena	neg	-1	0.0	element_of	category	page
Television_stations	Ulam's_packing_conjecture	neg	-1	0.0	element_of	category	page
Medieval_knights	MPX_filter	neg	-1	0.0	element_of	category	page
Organizational_cybernetics	Internal_environment	pos_pageof_organization	-1	0.6	element_of	category	page
Medieval_knights	Ulam's_packing_conjecture	neg	-1	0.0	element_of	category	page
Television_stations	Push–relabel_maximum_flow_algorithm	neg	-1	0.0	element_of	category	page
Network_flow_problem	Nowhere-zero_flow	pos_pageof_network_flow	-1	0.6	element_of	category	page
Non-equilibrium_thermodynamics	Loschmidt's_paradox	pos_pageof_non-equilibr	-1	0.6	element_of	category	page
Packing_problems	Polygon_partition	pos_pageof_packing_prob	-1	0.6	element_of	category	page
Public_toilets_automation	Fraser_filter	neg	-1	0.0	element_of	category	page
Feudalism	Refinable_function	neg	-1	0.0	element_of	category	page
Comedians	Bridged_T_delay_equaliser	neg	-1	0.0	element_of	category	page
Feudalism	Time_crystal	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Frequency-dependent_negative_resistor	neg	-1	0.0	element_of	category	page
Tornado	Commensurate_line_circuit	neg	-1	0.0	element_of	category	page
Non-equilibrium_thermodynamics	Non-equilibrium_statistical_mechanics	pos_pageof_non-equilibr	-1	1.0	element_of	category	page
Linear_filters	Chebyshev_filter	pos_pageof_linear_filte	-1	0.8	element_of	category	page
Tornado	Oregonator	neg	-1	0.0	element_of	category	page
Tornado	Wavelet_packet_decomposition	neg	-1	0.0	element_of	category	page
Linear_programming	Graver_basis	pos_pageof_linear_progr	-1	0.6	element_of	category	page
Chess_openings	Karmarkar's_algorithm	neg	-1	0.0	element_of	category	page
Packing_problems	Conway_puzzle	pos_pageof_packing_prob	-1	0.6	element_of	category	page
Public_toilets_automation	Prune_and_search	neg	-1	0.0	element_of	category	page
Chess_openings	MPS_(format)	neg	-1	0.0	element_of	category	page
Tornado	Gabor_filter	neg	-1	0.0	element_of	category	page
Television_stations	Fractional_wavelet_transform	neg	-1	0.0	element_of	category	page
Feudalism	Cashflow_matching	neg	-1	0.0	element_of	category	page
Linear_filters	Crystal_filter	pos_pageof_linear_filte	-1	0.8	element_of	category	page
1978_albums	Job_embeddedness	neg	-1	0.0	element_of	category	page
1978_albums	Hilbert_basis_(linear_programming)	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Lattice_network	neg	-1	0.0	element_of	category	page
Feudalism	Out-of-kilter_algorithm	neg	-1	0.0	element_of	category	page
Chess_openings	Hirsch_conjecture	neg	-1	0.0	element_of	category	page
Cooking	LP-type_problem	neg	-1	0.0	element_of	category	page
Comedians	Lifting_scheme	neg	-1	0.0	element_of	category	page
Linear_programming	Data_envelopment_analysis	pos_pageof_linear_progr	-1	0.6	element_of	category	page
Television_stations	TAPAAL_Model_Checker	neg	-1	0.0	element_of	category	page
Television_stations	Passband	neg	-1	0.0	element_of	category	page
1978_albums	Sequential_bargaining	neg	-1	0.0	element_of	category	page
Linear_filters	Smoothing_problem_(stochastic_processes)	pos_pageof_linear_filte	-1	0.8	element_of	category	page
Network_flow_problem	Minimum_cut	pos_pageof_network_flow	-1	1.0	element_of	category	page
Comedians	Jean_Morlet	neg	-1	0.0	element_of	category	page
Tornado	Libdmc	neg	-1	0.0	element_of	category	page
1978_albums	Chemical_oscillator	neg	-1	0.0	element_of	category	page
Model_checkers	MALPAS_Software_Static_Analysis_Toolset	pos_pageof_model_checke	-1	0.8	element_of	category	page
Galaxies	Tripod_packing	neg	-1	0.0	element_of	category	page
1978_albums	Lattice_phase_equaliser	neg	-1	0.0	element_of	category	page
Wavelets	Meyer_wavelet	pos_pageof_wavelets	-1	1.0	element_of	category	page
Cooking	Collective_bargaining	neg	-1	0.0	element_of	category	page
