pair_id	corpus	graph_view	branch_id	branch_title	descendant_id	descendant_title	descendant_normalized_title	ancestor_id	ancestor_title	ancestor_normalized_title	hop
enwiki-h1-0000	enwiki	category_dag	693763	Academic_disciplines	12730741	Applied_philosophy	applied philosophy	19470381	Applied_disciplines	applied disciplines	1
enwiki-h1-0001	enwiki	category_dag	737037	Behavior	47564932	Works_about_competitions	works about competitions	67746871	Works_about_behavior	works about behavior	1
enwiki-h1-0002	enwiki	category_dag	771152	Business	1226607	Business_theorists	business theorists	56870004	People_in_business-related_occupations	people in business-related occupations	1
enwiki-h1-0003	enwiki	category_dag	709243	Communication	39012309	Works_about_information	works about information	1009209	Information	information	1
enwiki-h1-0004	enwiki	category_dag	24980271	Concepts	58615859	Techniques_and_principles_related_to_heraldic_tinctures	techniques and principles related to heraldic tinctures	5922972	Principles	principles	1
enwiki-h1-0005	enwiki	category_dag	694861	Culture	37435625	Korean_cuisine-related_lists	korean cuisine-related lists	47025435	Cuisine-related_lists	cuisine-related lists	1
enwiki-h1-0006	enwiki	category_dag	47397287	Economy	6649447	Cultural_economics	cultural economics	72679348	Culture_and_economy	culture and economy	1
enwiki-h1-0007	enwiki	category_dag	696763	Education	47131507	New_York_State_Education_Department	new york state education department	23681922	State_departments_of_education_of_the_United_States	state departments of education of the united states	1
enwiki-h1-0008	enwiki	category_dag	865456	Energy	27794402	Steam_turbines	steam turbines	966100	Turbines	turbines	1
enwiki-h1-0009	enwiki	category_dag	692903	Engineering	14661580	Engineering_organizations	engineering organizations	692903	Engineering	engineering	1
enwiki-h1-0010	enwiki	category_dag	60023454	Entities	9074974	Former_entities	former entities	60023454	Entities	entities	1
enwiki-h1-0011	enwiki	category_dag	694860	Food_and_drink	6347960	Food_allergy_organizations	food allergy organizations	15702781	Food_allergies	food allergies	1
enwiki-h1-0012	enwiki	category_dag	693800	Geography	705498	Deserts	deserts	693800	Geography	geography	1
enwiki-h1-0013	enwiki	category_dag	697609	Government	25363736	Former_government_ministries	former government ministries	4677126	Government_ministries	government ministries	1
enwiki-h1-0014	enwiki	category_dag	751381	Health	15335883	Paraphilias	paraphilias	28264853	Sexual_disorders	sexual disorders	1
enwiki-h1-0015	enwiki	category_dag	693555	History	79482448	New_Zealand_male_biographers	new zealand male biographers	46687935	Male_biographers	male biographers	1
enwiki-h1-0016	enwiki	category_dag	1004110	Humanities	27624683	Humanities_education	humanities education	1004110	Humanities	humanities	1
enwiki-h1-0017	enwiki	category_dag	1009209	Information	54649010	Pragmatics_works	pragmatics works	37691471	Academic_works_about_semiotics	academic works about semiotics	1
enwiki-h1-0018	enwiki	category_dag	700914	Knowledge	45111777	Guinness_World_Records	guinness world records	5752924	Trivia_books	trivia books	1
enwiki-h1-0019	enwiki	category_dag	8017451	Language	744038	Philosophy_of_language	philosophy of language	8017451	Language	language	1
enwiki-h1-0020	enwiki	category_dag	691928	Law	61887783	Expansion_of_slavery_in_the_United_States	expansion of slavery in the united states	3376896	History_of_United_States_expansionism	history of united states expansionism	1
enwiki-h1-0021	enwiki	category_dag	2389032	Life	56730835	Types_of_trauma	types of trauma	10158091	Injuries	injuries	1
enwiki-h1-0022	enwiki	category_dag	696790	Mass_media	52177459	Marketing_strategy	marketing strategy	784409	Marketing	marketing	1
enwiki-h1-0023	enwiki	category_dag	690747	Mathematics	25169417	Lists_of_things_named_after_mathematicians	lists of things named after mathematicians	4684939	Mathematics-related_lists	mathematics-related lists	1
enwiki-h1-0024	enwiki	category_dag	696603	Nature	28962801	Nanotechnology_and_the_environment	nanotechnology and the environment	15877642	Environmental_issues	environmental issues	1
enwiki-h1-0025	enwiki	category_dag	691810	Philosophy	32026258	Women_and_philosophy	women and philosophy	691810	Philosophy	philosophy	1
enwiki-h1-0026	enwiki	category_dag	695027	Politics	6222478	Political_communication	political communication	695027	Politics	politics	1
enwiki-h1-0027	enwiki	category_dag	692694	Religion	59768190	Weekly_Torah_readings_in_Tammuz_(Hebrew_month)	weekly torah readings in tammuz (hebrew month)	44724959	Tammuz_(Hebrew_month)	tammuz (hebrew month)	1
enwiki-h1-0028	enwiki	category_dag	691182	Science	24244487	Forensic_occupations	forensic occupations	1003632	Science_occupations	science occupations	1
enwiki-h1-0029	enwiki	category_dag	1633936	Society	36952510	Sectarianism	sectarianism	19307992	Social_conflict	social conflict	1
enwiki-h1-0030	enwiki	category_dag	696648	Technology	5209409	Telerehabilitation	telerehabilitation	25737110	Telehealth	telehealth	1
enwiki-h1-0031	enwiki	category_dag	744728	Time	67825444	22nd-century_lunar_eclipses	22nd-century lunar eclipses	74786281	22nd-century_astronomical_events	22nd-century astronomical events	1
enwiki-h1-0032	enwiki	category_dag	48005914	Universe	22037957	Physical_objects	physical objects	1926287	Matter	matter	1
enwiki-h1-0033	enwiki	category_dag	693763	Academic_disciplines	28366894	Specific_University_Curricula	specific university curricula	15457132	Curricula	curricula	1
enwiki-h1-0034	enwiki	category_dag	737037	Behavior	40410448	Object_manipulation	object manipulation	2952834	Sleight_of_hand	sleight of hand	1
enwiki-h1-0035	enwiki	category_dag	771152	Business	53902901	Agricultural_organisations_based_in_Malaysia	agricultural organisations based in malaysia	49503799	Business_organisations_based_in_Malaysia	business organisations based in malaysia	1
enwiki-h1-0036	enwiki	category_dag	709243	Communication	1754736	Cybernetics	cybernetics	54039168	Feedback	feedback	1
enwiki-h1-0037	enwiki	category_dag	24980271	Concepts	52604981	Alien_language	alien language	62327389	Linguistic_theories_and_hypotheses	linguistic theories and hypotheses	1
enwiki-h1-0038	enwiki	category_dag	694861	Culture	55631230	Politics_in_culture	politics in culture	55426707	Topics_in_culture	topics in culture	1
enwiki-h1-0039	enwiki	category_dag	47397287	Economy	30948147	Conservative_Party_(UK)-related_lists	conservative party (uk)-related lists	11405707	Conservative_Party_(UK)	conservative party (uk)	1
enwiki-h1-0040	enwiki	category_dag	696763	Education	65391518	Outlines_of_education	outlines of education	696763	Education	education	1
enwiki-h1-0041	enwiki	category_dag	865456	Energy	11034434	Energy_sources	energy sources	865456	Energy	energy	1
enwiki-h1-0042	enwiki	category_dag	692903	Engineering	60261297	Presidents_of_the_Women's_Engineering_Society	presidents of the women's engineering society	60235506	Women's_Engineering_Society	women's engineering society	1
enwiki-h1-0043	enwiki	category_dag	60023454	Entities	20083363	Mathematical_structures	mathematical structures	5183917	Structure	structure	1
enwiki-h1-0044	enwiki	category_dag	694860	Food_and_drink	14685785	Sports_drinks	sports drinks	70516127	Sports_nutrition	sports nutrition	1
enwiki-h1-0045	enwiki	category_dag	693800	Geography	40848917	Desertification	desertification	705498	Deserts	deserts	1
enwiki-h1-0046	enwiki	category_dag	697609	Government	15180762	New_College_of_Florida	new college of florida	48057409	Public_honors_colleges	public honors colleges	1
enwiki-h1-0047	enwiki	category_dag	751381	Health	22253589	Diet_food_writers	diet food writers	1329934	Health_and_wellness_writers	health and wellness writers	1
enwiki-h1-0048	enwiki	category_dag	693555	History	702708	Historians	historians	693555	History	history	1
enwiki-h1-0049	enwiki	category_dag	1004110	Humanities	28771580	Mormon_studies	mormon studies	50033767	Christianity_studies	christianity studies	1
enwiki-h2-0000	enwiki	category_dag	693763	Academic_disciplines	12730741	Applied_philosophy	applied philosophy	693763	Academic_disciplines	academic disciplines	2
enwiki-h2-0001	enwiki	category_dag	737037	Behavior	51151941	Films_about_sexism	films about sexism	63445351	Works_about_sex	works about sex	2
enwiki-h2-0002	enwiki	category_dag	771152	Business	50682347	Finance_occupations	finance occupations	771152	Business	business	2
enwiki-h2-0003	enwiki	category_dag	709243	Communication	857453	Winnie-the-Pooh	winnie-the-pooh	78445454	Short_stories_about_talking_objects	short stories about talking objects	2
enwiki-h2-0004	enwiki	category_dag	24980271	Concepts	57223209	Nostratic_languages	nostratic languages	1963117	Theories	theories	2
enwiki-h2-0005	enwiki	category_dag	694861	Culture	61435038	Cheating_in_gambling	cheating in gambling	694861	Culture	culture	2
enwiki-h2-0006	enwiki	category_dag	47397287	Economy	35746569	Forestry-related_lists	forestry-related lists	50772364	Economy-related_lists	economy-related lists	2
enwiki-h2-0007	enwiki	category_dag	696763	Education	8398611	Student_mass_media	student mass media	696763	Education	education	2
enwiki-h2-0008	enwiki	category_dag	865456	Energy	6745479	Directed-energy_weapons	directed-energy weapons	865456	Energy	energy	2
enwiki-h2-0009	enwiki	category_dag	692903	Engineering	43999884	Human_Genome_Project_scientists	human genome project scientists	692903	Engineering	engineering	2
enwiki-h2-0010	enwiki	category_dag	60023454	Entities	27291257	Sinkholes	sinkholes	14372289	Objects	objects	2
enwiki-h2-0011	enwiki	category_dag	694860	Food_and_drink	39565398	Eating_parties	eating parties	53638516	Dining	dining	2
enwiki-h2-0012	enwiki	category_dag	693800	Geography	34088982	National_Geospatial-Intelligence_Agency	national geospatial-intelligence agency	51209050	Geographic_data_and_information_organizations	geographic data and information organizations	2
enwiki-h2-0013	enwiki	category_dag	697609	Government	81890787	Vassal_rulers	vassal rulers	697609	Government	government	2
enwiki-h2-0014	enwiki	category_dag	751381	Health	46845184	Hospitals_in_Guinea-Bissau	hospitals in guinea-bissau	69481574	Healthcare_in_Guinea-Bissau	healthcare in guinea-bissau	2
enwiki-h2-0015	enwiki	category_dag	693555	History	34088419	History_portal	history portal	693555	History	history	2
enwiki-h2-0016	enwiki	category_dag	1004110	Humanities	7687074	Language_teachers	language teachers	27624683	Humanities_education	humanities education	2
enwiki-h2-0017	enwiki	category_dag	1009209	Information	78603869	Mathematics_occupations	mathematics occupations	1009209	Information	information	2
enwiki-h2-0018	enwiki	category_dag	700914	Knowledge	2380601	Parables_of_Jesus	parables of jesus	20497537	Wisdom_literature	wisdom literature	2
enwiki-h2-0019	enwiki	category_dag	8017451	Language	5561744	ISO_639	iso 639	8017451	Language	language	2
enwiki-h2-0020	enwiki	category_dag	691928	Law	24660679	Medical_jurisprudence	medical jurisprudence	691928	Law	law	2
enwiki-h2-0021	enwiki	category_dag	2389032	Life	70615160	Films_about_phoenixes	films about phoenixes	62800924	Phoenix_birds	phoenix birds	2
enwiki-h2-0022	enwiki	category_dag	696790	Mass_media	34625890	Religious_software	religious software	79467678	Spiritual_media	spiritual media	2
enwiki-h2-0023	enwiki	category_dag	696603	Nature	45617574	Pharmacognosists	pharmacognosists	697022	Natural_sciences	natural sciences	2
enwiki-h2-0024	enwiki	category_dag	691810	Philosophy	81827602	Faculties_of_philosophy_in_Brazil	faculties of philosophy in brazil	14561344	Philosophy_organizations	philosophy organizations	2
enwiki-h2-0025	enwiki	category_dag	695027	Politics	48423981	Democratic_Party_presidential_debates	democratic party presidential debates	37436748	Leaders'_debates	leaders' debates	2
enwiki-h2-0026	enwiki	category_dag	692694	Religion	33071521	Biblical_dreams_and_visions	biblical dreams and visions	692694	Religion	religion	2
enwiki-h2-0027	enwiki	category_dag	691182	Science	18441870	Polar_exploration	polar exploration	691182	Science	science	2
enwiki-h2-0028	enwiki	category_dag	1633936	Society	38823017	Town_and_country_planning_in_Turkey	town and country planning in turkey	49142553	Rural_society_in_Europe	rural society in europe	2
enwiki-h2-0029	enwiki	category_dag	696648	Technology	16585181	Technology_evangelists	technology evangelists	696648	Technology	technology	2
enwiki-h2-0030	enwiki	category_dag	744728	Time	24148745	Time_signals	time signals	744728	Time	time	2
enwiki-h2-0031	enwiki	category_dag	48005914	Universe	39353807	Christian_Old_Earth_creationists	christian old earth creationists	919511	Creationism	creationism	2
enwiki-h2-0032	enwiki	category_dag	693763	Academic_disciplines	81529797	Constitutional_history_of_Russia	constitutional history of russia	707341	Legal_history	legal history	2
enwiki-h2-0033	enwiki	category_dag	737037	Behavior	14567412	Sexual_selection	sexual selection	737037	Behavior	behavior	2
enwiki-h2-0034	enwiki	category_dag	771152	Business	22898960	Spouses_of_Australian_politicians	spouses of australian politicians	18113789	Official_social_partners_of_politicians	official social partners of politicians	2
enwiki-h2-0035	enwiki	category_dag	709243	Communication	18793873	Data_and_information_visualization_experts	data and information visualization experts	1009209	Information	information	2
enwiki-h2-0036	enwiki	category_dag	24980271	Concepts	17320449	Difference	difference	24980271	Concepts	concepts	2
enwiki-h2-0037	enwiki	category_dag	694861	Culture	27340252	British_Pakistani_mass_media	british pakistani mass media	43041456	Ethnic_mass_media	ethnic mass media	2
enwiki-h2-0038	enwiki	category_dag	47397287	Economy	1229089	Supply_chain_management	supply chain management	68721914	Supply_networks	supply networks	2
enwiki-h2-0039	enwiki	category_dag	696763	Education	56689328	Semester_at_sea_programs	semester at sea programs	696763	Education	education	2
enwiki-h2-0040	enwiki	category_dag	865456	Energy	81861200	Wind_energy_cooperatives	wind energy cooperatives	11875229	Energy_cooperatives	energy cooperatives	2
enwiki-h2-0041	enwiki	category_dag	692903	Engineering	42482578	Graphene	graphene	8058041	Nanomaterials	nanomaterials	2
enwiki-h2-0042	enwiki	category_dag	60023454	Entities	1196890	Singularitarianism	singularitarianism	772259	Philosophy_of_mind	philosophy of mind	2
enwiki-h2-0043	enwiki	category_dag	694860	Food_and_drink	71545070	Cake_decorating	cake decorating	694860	Food_and_drink	food and drink	2
enwiki-h2-0044	enwiki	category_dag	693800	Geography	724833	Geocodes	geocodes	9962372	Geography_terminology	geography terminology	2
enwiki-h2-0045	enwiki	category_dag	697609	Government	27423924	Religion_in_the_Israel_Defense_Forces	religion in the israel defense forces	44449531	Religion_and_government	religion and government	2
enwiki-h2-0046	enwiki	category_dag	751381	Health	63464250	Health_and_video_gaming	health and video gaming	751381	Health	health	2
enwiki-h2-0047	enwiki	category_dag	693555	History	52616792	Books_about_economic_crises	books about economic crises	50238042	Works_about_economic_history	works about economic history	2
enwiki-h2-0048	enwiki	category_dag	1004110	Humanities	22811075	Museum_education	museum education	1004110	Humanities	humanities	2
enwiki-h2-0049	enwiki	category_dag	1009209	Information	39071818	Internet_privacy_organizations	internet privacy organizations	44363114	Information_privacy	information privacy	2
enwiki-h3-0000	enwiki	category_dag	693763	Academic_disciplines	11764402	Liberal_arts_colleges_in_the_Philippines	liberal arts colleges in the philippines	693763	Academic_disciplines	academic disciplines	3
enwiki-h3-0001	enwiki	category_dag	737037	Behavior	13609231	Mimicry	mimicry	737037	Behavior	behavior	3
enwiki-h3-0002	enwiki	category_dag	771152	Business	15445793	Labor_relations_boards	labor relations boards	11424082	Labour_law	labour law	3
enwiki-h3-0003	enwiki	category_dag	709243	Communication	47421055	Comparison_of_Germanic_languages_and_dialects	comparison of germanic languages and dialects	1009209	Information	information	3
enwiki-h3-0004	enwiki	category_dag	24980271	Concepts	9833053	String_metrics	string metrics	24980271	Concepts	concepts	3
enwiki-h3-0005	enwiki	category_dag	694861	Culture	52233752	Christian_orders,_decorations,_and_medals	christian orders, decorations, and medals	694861	Culture	culture	3
enwiki-h3-0006	enwiki	category_dag	47397287	Economy	4988891	Vacuum_cleaners	vacuum cleaners	916951	Consumer_goods	consumer goods	3
enwiki-h3-0007	enwiki	category_dag	696763	Education	64081633	Western_University_of_Health_Sciences	western university of health sciences	10246702	Learning_methods	learning methods	3
enwiki-h3-0008	enwiki	category_dag	865456	Energy	34437575	King_Fahd_University_of_Petroleum_and_Minerals_alumni	king fahd university of petroleum and minerals alumni	55537452	Energy_education	energy education	3
enwiki-h3-0009	enwiki	category_dag	692903	Engineering	30735500	Lime_kilns	lime kilns	692903	Engineering	engineering	3
enwiki-h3-0010	enwiki	category_dag	60023454	Entities	24909288	Mental_disorders	mental disorders	60023454	Entities	entities	3
enwiki-h3-0011	enwiki	category_dag	694860	Food_and_drink	9302840	Military_food_of_Canada	military food of canada	694860	Food_and_drink	food and drink	3
enwiki-h3-0012	enwiki	category_dag	693800	Geography	47913116	Titles_in_Bosnia	titles in bosnia	49222776	Geographical_regions	geographical regions	3
enwiki-h3-0013	enwiki	category_dag	697609	Government	32009329	Motorcycle_standards	motorcycle standards	697609	Government	government	3
enwiki-h3-0014	enwiki	category_dag	751381	Health	25326754	Exercise_television_shows	exercise television shows	751381	Health	health	3
enwiki-h3-0015	enwiki	category_dag	693555	History	75352499	Marathi-language_biographical_films	marathi-language biographical films	32136051	Indian_history_in_popular_culture	indian history in popular culture	3
enwiki-h3-0016	enwiki	category_dag	1004110	Humanities	11119769	Casual_script_typefaces	casual script typefaces	1004110	Humanities	humanities	3
enwiki-h3-0017	enwiki	category_dag	1009209	Information	5154927	Telephone_directory_publishing_companies	telephone directory publishing companies	1009209	Information	information	3
enwiki-h3-0018	enwiki	category_dag	700914	Knowledge	5353483	Consulting	consulting	700914	Knowledge	knowledge	3
enwiki-h3-0019	enwiki	category_dag	691928	Law	34742377	Legal_professional_privilege	legal professional privilege	691928	Law	law	3
enwiki-h3-0020	enwiki	category_dag	2389032	Life	31303793	Lithophiles	lithophiles	42501585	Speculative_evolution	speculative evolution	3
enwiki-h3-0021	enwiki	category_dag	696790	Mass_media	37591464	Audiovisual_ephemera	audiovisual ephemera	60926601	Stock_media	stock media	3
enwiki-h3-0022	enwiki	category_dag	690747	Mathematics	51270028	Awards_and_prizes_of_the_Association_for_Women_in_Mathematics	awards and prizes of the association for women in mathematics	690747	Mathematics	mathematics	3
enwiki-h3-0023	enwiki	category_dag	696603	Nature	30994459	Community_gardening	community gardening	696603	Nature	nature	3
enwiki-h3-0024	enwiki	category_dag	691008	People	75554042	John_James_Audubon	john james audubon	691008	People	people	3
