pair_id	corpus	graph_view	account	branch_id	branch_title	source_tree_ids	source_record_count	descendant_id	descendant_title	descendant_title_aliases	descendant_normalized_title	ancestor_id	ancestor_title	ancestor_title_aliases	ancestor_normalized_title	hop	descendant_raw_title	descendant_title_audit_action	descendant_canonical_identity	ancestor_raw_title	ancestor_title_audit_action	ancestor_canonical_identity
pearltrees-h1-0000	pearltrees	principal_path_lineage	s243a	11820376	2 - root node (my real tree Pearl Trees Version 1.0)	11101424	1	11101424	Technology Science & Engineering Forums	"[""Technology Science &amp; Engineering Forums""]"	technology science & engineering forums	11101419	forums	[]	forums	1	Technology Science & Engineering Forums	raw	technology science & engineering forums	forums	raw	forums
pearltrees-h1-0001	pearltrees	principal_path_lineage	s243a	10908045	3D Printing	15768543	1	15768543	Building a Computer (How to)	[]	building a computer (how to)	10908042	Manufacturing Technology	[]	manufacturing technology	1	Building a Computer (How to)	raw	building a computer (how to)	Manufacturing Technology	raw	manufacturing technology
pearltrees-h1-0002	pearltrees	principal_path_lineage	s243a	69093604	Aluminum combustion	69093684	1	69093684	Twin Towers & Aluminum combustion	"[""Twin Towers &amp; Aluminum combustion""]"	twin towers & aluminum combustion	69093604	Aluminum combustion	[]	aluminum combustion	1	Twin Towers & Aluminum combustion	raw	twin towers & aluminum combustion	Aluminum combustion	raw	aluminum combustion
pearltrees-h1-0003	pearltrees	principal_path_lineage	s243a	10455430	Animal Farm	11728046	1	11728045	Anti-Democratic Think Tank Positions	[]	anti-democratic think tank positions	11728008	Power & Motivation (Political Philosophy)	[]	power & motivation (political philosophy)	1	Anti-Democractic Think Tank Positions	corrected	anti-democratic think tank positions	Power & Motivation (Political Philosophy)	raw	power & motivation (political philosophy)
pearltrees-h1-0004	pearltrees	principal_path_lineage	s243a	10646352	Antenna	11495604	1	11495604	Holonomic system	[]	holonomic system	11495603	Constraints (Classical Mechanics)	[]	constraints (classical mechanics)	1	Holonomic system	raw	holonomic system	Constraints (Clasical Mechanics)	corrected	constraints (classical mechanics)
pearltrees-h1-0005	pearltrees	principal_path_lineage	s243a	10489980	Apocalyptic Fiction	66164446	1	11263727	Dystopic Fiction	[]	dystopic fiction	10489978	Fiction	[]	fiction	1	Dystopic Fiction	raw	dystopic fiction	Fiction	raw	fiction
pearltrees-h1-0006	pearltrees	principal_path_lineage	s243a	10658342	Artificial Intelligence	81150192	1	81150191	The Business of Artificial Intelligence	[]	the business of artificial intelligence	10658342	Artificial Intelligence	[]	artificial intelligence	1	The Business of Artificial Intelligence	raw	the business of artificial intelligence	Artificial Intelligence	raw	artificial intelligence
pearltrees-h1-0007	pearltrees	principal_path_lineage	s243a	10455231	Bitcoin 2.0	10628300	1	10628300	Roundtripping	[]	roundtripping	10628297	Accounting Manipulation Schemes	[]	accounting manipulation schemes	1	Roundtripping	raw	roundtripping	Accounting Manipulation Schemes	raw	accounting manipulation schemes
pearltrees-h1-0008	pearltrees	principal_path_lineage	s243a	10490508	Byfracating legislation & lichpins	10490516	1	10490516	We the corporations	[]	we the corporations	10490508	Byfracating legislation & lichpins	[]	byfracating legislation & lichpins	1	We the corperations	corrected	we the corporations	Byfracating legislation & lichpins	raw	byfracating legislation & lichpins
pearltrees-h1-0009	pearltrees	principal_path_lineage	s243a	60480986	Cognition	76144475,81305419	2	76144475	Learning	[]	learning	60480986	Cognition	[]	cognition	1	Learning	raw	learning	Cognition	raw	cognition
pearltrees-h1-0010	pearltrees	principal_path_lineage	s243a	10892135	copyright	10391146	1	10391146	news.EFF.Patent	"[""News.EFF.Patent""]"	news.eff.patent	11207530	Intellectual Property	[]	intellectual property	1	news.EFF.Patent	raw	news.eff.patent	Intelectual Property	corrected	intellectual property
pearltrees-h1-0011	pearltrees	principal_path_lineage	s243a	10518894	Corruption & Retribution	10556392	1	10556392	Alleged Monsanto Connections	[]	alleged monsanto connections	10556389	Monsanto	[]	monsanto	1	Alleged Monsanto Connections	raw	alleged monsanto connections	Monsanto	raw	monsanto
pearltrees-h1-0012	pearltrees	principal_path_lineage	s243a	10459350	Darknet & The Deep Web	10517704	1	10517701	Big Brother Govs & Corps (Books)	[]	big brother govs & corps (books)	10494970	Corporate Privacy attacks	[]	corporate privacy attacks	1	Big Brother Govs & Corps (Books)	raw	big brother govs & corps (books)	Corporate Privacy attacks	raw	corporate privacy attacks
pearltrees-h1-0013	pearltrees	principal_path_lineage	s243a	23549372	Datascience (puppylinux)	23562907	1	23562907	Geography (Puppylinux)	[]	geography (puppylinux)	23549372	Datascience (puppylinux)	[]	datascience (puppylinux)	1	Geography (Puppylinux)	raw	geography (puppylinux)	Datascience (puppylinux)	raw	datascience (puppylinux)
pearltrees-h1-0014	pearltrees	principal_path_lineage	s243a	72195805	Deontology (AKA Deontological ethics)	72196816	1	72196816	Kantianism	[]	kantianism	72195805	Deontology (AKA Deontological ethics)	[]	deontology (aka deontological ethics)	1	Kantianism	raw	kantianism	Deontology (AKA Deontological ethics)	raw	deontology (aka deontological ethics)
pearltrees-h1-0015	pearltrees	principal_path_lineage	s243a	10490022	Education	8388835	1	11423696	Education by other Pearlers	[]	education by other pearlers	10490022	Education	[]	education	1	Education by other Pearlers	raw	education by other pearlers	Education	raw	education
pearltrees-h1-0016	pearltrees	principal_path_lineage	s243a	10390752	ethics	10524391,10586002,10757738,10757758,10761044,11088198,11262653,11395179,14876580,15641967,15642064	11	10543559	Theories of Influence	[]	theories of influence	10541948	Social Control	[]	social control	1	Theories of Influence	raw	theories of influence	Social Control	raw	social control
pearltrees-h1-0017	pearltrees	principal_path_lineage	s243a	10369724	eyes-symbols-history-s243a	12613895	1	12613895	Criticism of religion	[]	criticism of religion	10370051	Religion	[]	religion	1	Criticism of relegion	corrected	criticism of religion	Relegion	corrected	religion
pearltrees-h1-0018	pearltrees	principal_path_lineage	s243a	10343209	FBI-history-s243a	15102179	1	10950335	Keeping Down Black Power	[]	keeping down black power	10600494	Counter-activism & Counter-Revolutions	[]	counter-activism & counter-revolutions	1	Keeping Down Black Power	raw	keeping down black power	Counter-activism & Counter-Revolutions	raw	counter-activism & counter-revolutions
pearltrees-h1-0019	pearltrees	principal_path_lineage	s243a	10489978	Fiction	66164325	1	66164325	Apocalyptic novels	[]	apocalyptic novels	10489980	Apocalyptic Fiction	[]	apocalyptic fiction	1	Apocalyptic novels	raw	apocalyptic novels	Apocalyptic Fiction	raw	apocalyptic fiction
pearltrees-h1-0020	pearltrees	principal_path_lineage	s243a	10518564	Genocide	13691481	1	11743387	Genocides & Holocausts	[]	genocides & holocausts	10518564	Genocide	[]	genocide	1	Genocides & Holocausts	raw	genocides & holocausts	Genocide	raw	genocide
pearltrees-h1-0021	pearltrees	principal_path_lineage	s243a	10646429	geopolitics	10904768	1	10904768	Geo Politics	[]	geo politics	10399693	policy	[]	policy	1	Geo Politics	raw	geo politics	policy	raw	policy
pearltrees-h1-0022	pearltrees	principal_path_lineage	s243a	10371461	Gods of Earth and Nature	10371330	1	10371330	Symbols of Satanism (Documentary)	[]	symbols of satanism (documentary)	10369724	eyes-symbols-history-s243a	[]	eyes-symbols-history-s243a	1	Symbols of Satinism (Documentary)	corrected	symbols of satanism (documentary)	eyes-symbols-history-s243a	raw	eyes-symbols-history-s243a
pearltrees-h1-0023	pearltrees	principal_path_lineage	s243a	10323424	groups	10425296	1	10425297	Torture	[]	torture	10388463	clandestine	[]	clandestine	1	Torture	raw	torture	clandestine	raw	clandestine
pearltrees-h1-0024	pearltrees	principal_path_lineage	s243a	10390869	History by Region / place	10741831,11446295,11746501,15698962	4	10676482	Poverty	[]	poverty	10455187	Social Sciences	[]	social sciences	1	Poverty	raw	poverty	Social Sciences	raw	social sciences
pearltrees-h1-0025	pearltrees	principal_path_lineage	s243a	11257760	holocausts	12795827,14468099,14696442	3	11743368	The native American genocide/holocaust	[]	the native american genocide/holocaust	11257760	holocausts	[]	holocausts	1	The native American genocide/holocaust	raw	the native american genocide/holocaust	holocausts	raw	holocausts
pearltrees-h1-0026	pearltrees	principal_path_lineage	s243a	70315977	Human communication	70316192	1	70316192	Language	[]	language	70315977	Human communication	[]	human communication	1	Language	raw	language	Human communication	raw	human communication
pearltrees-h1-0027	pearltrees	principal_path_lineage	s243a	11636363	humanities & social sciences	11431022	1	11431022	psychology society	"[""Psychology society""]"	psychology society	10889076	society	[]	society	1	psychology society	raw	psychology society	society	raw	society
pearltrees-h1-0028	pearltrees	principal_path_lineage	s243a	10676595	integral	10516833	1	10516833	Probability & Statistics	"[""Probability &amp; Statistics""]"	probability & statistics	10676595	integral	[]	integral	1	Probability & Statistics	raw	probability & statistics	integral	raw	integral
pearltrees-h1-0029	pearltrees	principal_path_lineage	s243a	10541842	Language, Literature & Other arts	12053776	1	12053776	emotions (language)	"[""Emotions (language)""]"	emotions (language)	10541842	Language, Literature & Other arts	[]	language, literature & other arts	1	emotions (language)	raw	emotions (language)	Language, Literature & Other arts	raw	language, literature & other arts
pearltrees-h1-0030	pearltrees	principal_path_lineage	s243a	10455428	Literary Portrayals of Totalitarianism	10455431	1	10455431	Preface to Animal Farm	[]	preface to animal farm	10455430	Animal Farm	[]	animal farm	1	Preface to Animal Farm	raw	preface to animal farm	Animal Farm	raw	animal farm
pearltrees-h1-0031	pearltrees	principal_path_lineage	s243a	11056503	Man in the MIddle	10769144	1	11056507	NSA & Man in the Middle	[]	nsa & man in the middle	11056503	Man in the MIddle	[]	man in the middle	1	NSA & Man in the Middle	raw	nsa & man in the middle	Man in the MIddle	raw	man in the middle
pearltrees-h1-0032	pearltrees	principal_path_lineage	s243a	10908042	Manufacturing Technology	75884776	1	75884776	3D bioprinting	[]	3d bioprinting	10908045	3D Printing	[]	3d printing	1	3D bioprinting	raw	3d bioprinting	3D Printing	raw	3d printing
pearltrees-h1-0033	pearltrees	principal_path_lineage	s243a	10391040	media	15670362	1	15670362	Dangerous Generalities	[]	dangerous generalities	10800288	Destructive Practices	[]	destructive practices	1	Dangerous Generalities	raw	dangerous generalities	Destructive Practices	raw	destructive practices
pearltrees-h1-0034	pearltrees	principal_path_lineage	s243a	52520927	Methodology (Formal Sciences)	52520985	1	52520985	Scientific method	[]	scientific method	52520927	Methodology (Formal Sciences)	[]	methodology (formal sciences)	1	Scientific method	raw	scientific method	Methodology (Formal Sciences)	raw	methodology (formal sciences)
pearltrees-h1-0035	pearltrees	principal_path_lineage	s243a	10381169	Mythology	10519858	1	10519858	Aleister Crowley by other Pearlers	[]	aleister crowley by other pearlers	10371507	Aleister Crowley	[]	aleister crowley	1	Aleister Crowley by other Pearlers	raw	aleister crowley by other pearlers	Aleister Crowley	raw	aleister crowley
pearltrees-h1-0036	pearltrees	principal_path_lineage	s243a	10390825	people	14942407	1	14942407	MPs (Canadian Politicians)	[]	mps (canadian politicians)	10543300	Canadian Politicians	[]	canadian politicians	1	MPs (Canadian Politicans)	corrected	mps (canadian politicians)	Canadian Politicians	raw	canadian politicians
pearltrees-h1-0037	pearltrees	principal_path_lineage	s243a	10390751	philosophy	14493998	1	14493998	memes -- blaming the poor	"[""Memes -- blaming the poor""]"	memes -- blaming the poor	10497439	Blaming the victim & Poverty	[]	blaming the victim & poverty	1	memes -- blaming the poor	raw	memes -- blaming the poor	Blaming the victim & Poverty	raw	blaming the victim & poverty
pearltrees-h1-0038	pearltrees	principal_path_lineage	s243a	10399690	Politics	14142445	1	14142445	The Raiding of the Commons	[]	the raiding of the commons	10821287	Trickle Up Welfare	[]	trickle up welfare	1	The Raiding of the Commons	raw	the raiding of the commons	Trickle Up Welfare	raw	trickle up welfare
pearltrees-h1-0039	pearltrees	principal_path_lineage	s243a	61837122	Problem behavior	61837175	1	61837175	Misconduct‎	[]	misconduct‎	61837122	Problem behavior	[]	problem behavior	1	Misconduct‎	raw	misconduct‎	Problem behavior	raw	problem behavior
pearltrees-h1-0040	pearltrees	principal_path_lineage	s243a	10995538	Republican Politics	15672311	1	15672311	Satire or Reality? (Right wing Madness)	[]	satire or reality? (right wing madness)	11549294	Republican Sideshows	[]	republican sideshows	1	Satire or Reality? (Right wing Madness)	raw	satire or reality? (right wing madness)	Republican Sideshows	raw	republican sideshows
pearltrees-h1-0041	pearltrees	principal_path_lineage	s243a	11549294	Republican Sideshows	14234218	1	10797473	The Social Security Debate	[]	the social security debate	10797464	American Politics	[]	american politics	1	The Social Security Debate	raw	the social security debate	American Politics	raw	american politics
pearltrees-h1-0042	pearltrees	principal_path_lineage	s243a	68982620	Safety‎	81342276	1	81342276	Security	[]	security	68982620	Safety‎	[]	safety‎	1	Security	raw	security	Safety‎	raw	safety‎
pearltrees-h1-0043	pearltrees	principal_path_lineage	s243a	10400867	Social Forces	15044166	1	15044166	Accountability	[]	accountability	10400867	Social Forces	[]	social forces	1	Acountability	corrected	accountability	Social Forces	raw	social forces
pearltrees-h1-0044	pearltrees	principal_path_lineage	s243a	10311488	Social Media	10658521	1	10658521	The Afghanistan Media	[]	the afghanistan media	10658520	Media in _ country	[]	media in country	1	The Afganastan Media	corrected	the afghanistan media	Media in _ country	raw	media in country
pearltrees-h1-0045	pearltrees	principal_path_lineage	s243a	10950002	Social Power	10950000,10950015	2	10949992	Types of power	[]	types of power	10950002	Social Power	[]	social power	1	Types of power	raw	types of power	Social Power	raw	social power
pearltrees-h1-0046	pearltrees	principal_path_lineage	s243a	10371821	Society	12155877	1	12155877	LOGO	[]	logo	12154082	TV Networks	[]	tv networks	1	LOGO	raw	logo	TV Networks	raw	tv networks
pearltrees-h1-0047	pearltrees	principal_path_lineage	s243a	10369712	symbols-history	10986539,11044343,1167286,14195928,3598416	5	10579331	Places	[]	places	10390869	History by Region / place	[]	history by region / place	1	Places	raw	places	History by Region / place	raw	history by region / place
pearltrees-h1-0048	pearltrees	principal_path_lineage	s243a	11727684	Technology, Engineering & Design	10031034,10380971,10388356,10388364,10516788,10789639,10797629,10976618,11110453,11676890,11839221,12318781,12324665,12466888,12531010,12948360,13565020,17658098,3928477,53344270,60340939,61533727,68961538,7178850,73599954,73899693,74973688,75009241,75009264,75009269,7512677,7708465,7739255,7739285,82448474	35	10380971	technology	"[""Technology""]"	technology	11727684	Technology, Engineering & Design	[]	technology, engineering & design	1	technology	raw	technology	Technology, Engineering & Design	raw	technology, engineering & design
pearltrees-h1-0049	pearltrees	principal_path_lineage	s243a	11027045	The Dividing of People's with lines on the map	14222863	1	14222863	The MOVE bombing	[]	the move bombing	11393591	The Militarization of the Police	[]	the militarization of the police	1	The MOVE bombing	raw	the move bombing	The Militerization of the Police	corrected	the militarization of the police
pearltrees-h2-0000	pearltrees	principal_path_lineage	s243a	11820376	2 - root node (my real tree Pearl Trees Version 1.0)	9285273	1	9285273	Wikipedia C	[]	wikipedia c	9285265	Wikipedia	[]	wikipedia	2	Wikipedia C	raw	wikipedia c	Wikipedia	raw	wikipedia
pearltrees-h2-0001	pearltrees	principal_path_lineage	s243a	10908045	3D Printing	15768543	1	15768543	Building a Computer (How to)	[]	building a computer (how to)	10908045	3D Printing	[]	3d printing	2	Building a Computer (How to)	raw	building a computer (how to)	3D Printing	raw	3d printing
pearltrees-h2-0002	pearltrees	principal_path_lineage	s243a	10455430	Animal Farm	11728089	1	11728089	Where Elite Unity Exists	[]	where elite unity exists	10455428	Literary Portrayals of Totalitarianism	[]	literary portrayals of totalitarianism	2	Where Elite Unity Exists	raw	where elite unity exists	Literary Portrayals of Totalitarianism	raw	literary portrayals of totalitarianism
pearltrees-h2-0003	pearltrees	principal_path_lineage	s243a	10646352	Antenna	11495604	1	11495603	Constraints (Classical Mechanics)	[]	constraints (classical mechanics)	10647426	Physics	[]	physics	2	Constraints (Clasical Mechanics)	corrected	constraints (classical mechanics)	Physics	raw	physics
pearltrees-h2-0004	pearltrees	principal_path_lineage	s243a	10489980	Apocalyptic Fiction	66164446	1	11263728	capitalism in Dystopic Fiction	[]	capitalism in dystopic fiction	10489978	Fiction	[]	fiction	2	capitalism in Dystopic Fiction	raw	capitalism in dystopic fiction	Fiction	raw	fiction
pearltrees-h2-0005	pearltrees	principal_path_lineage	s243a	10658342	Artificial Intelligence	11379949	1	11379949	Trends	[]	trends	10658342	Artificial Intelligence	[]	artificial intelligence	2	Trends	raw	trends	Artificial Intelligence	raw	artificial intelligence
pearltrees-h2-0006	pearltrees	principal_path_lineage	s243a	10455231	Bitcoin 2.0	69739167	1	69739167	Business process	[]	business process	10538786	Accounting	[]	accounting	2	Business process	raw	business process	Acounting	corrected	accounting
pearltrees-h2-0007	pearltrees	principal_path_lineage	s243a	60480986	Cognition	81305419	1	81305419	"""Pure"" Intelligence?"	"[""&quot;Pure&quot; Intelligence?""]"	"""pure"" intelligence?"	76144475	Learning	[]	learning	2	"""Pure"" Intelligence?"	raw	"""pure"" intelligence?"	Learning	raw	learning
pearltrees-h2-0008	pearltrees	principal_path_lineage	s243a	10892135	copyright	10391146	1	11207530	Intellectual Property	[]	intellectual property	10892135	copyright	[]	copyright	2	Intelectual Property	corrected	intellectual property	copyright	raw	copyright
pearltrees-h2-0009	pearltrees	principal_path_lineage	s243a	10518894	Corruption & Retribution	10870912	1	10622723	Conflict of interest	[]	conflict of interest	10518894	Corruption & Retribution	[]	corruption & retribution	2	Conflict of interest	raw	conflict of interest	Corruption & Retribution	raw	corruption & retribution
pearltrees-h2-0010	pearltrees	principal_path_lineage	s243a	10459350	Darknet & The Deep Web	10517704	1	10517704	Privacy in The Age of Big Data	[]	privacy in the age of big data	10494970	Corporate Privacy attacks	[]	corporate privacy attacks	2	Privacy in The Age of Big Data	raw	privacy in the age of big data	Corporate Privacy attacks	raw	corporate privacy attacks
pearltrees-h2-0011	pearltrees	principal_path_lineage	s243a	10490022	Education	14112246	1	14112246	Teaching to the test	[]	teaching to the test	10490022	Education	[]	education	2	Teaching to the test	raw	teaching to the test	Education	raw	education
pearltrees-h2-0012	pearltrees	principal_path_lineage	s243a	10390752	ethics	11730028	1	11730027	addiction	[]	addiction	10411186	Political Psychology	[]	political psychology	2	adiction	corrected	addiction	Political Psycology	corrected	political psychology
pearltrees-h2-0013	pearltrees	principal_path_lineage	s243a	10369724	eyes-symbols-history-s243a	11101525	1	11101523	Culture (Sociology)	[]	culture (sociology)	10370051	Religion	[]	religion	2	Culture (Sociology)	raw	culture (sociology)	Relegion	corrected	religion
pearltrees-h2-0014	pearltrees	principal_path_lineage	s243a	10343209	FBI-history-s243a	11153655,15102179,15664320	3	10600494	Counter-activism & Counter-Revolutions	[]	counter-activism & counter-revolutions	10343209	FBI-history-s243a	[]	fbi-history-s243a	2	Counter-activism & Counter-Revolutions	raw	counter-activism & counter-revolutions	FBI-history-s243a	raw	fbi-history-s243a
pearltrees-h2-0015	pearltrees	principal_path_lineage	s243a	10489978	Fiction	66164325	1	66164325	Apocalyptic novels	[]	apocalyptic novels	10489978	Fiction	[]	fiction	2	Apocalyptic novels	raw	apocalyptic novels	Fiction	raw	fiction
pearltrees-h2-0016	pearltrees	principal_path_lineage	s243a	10518564	Genocide	13691481	1	13691481	Cultural Genocide	[]	cultural genocide	10518564	Genocide	[]	genocide	2	Cultural Genocide	raw	cultural genocide	Genocide	raw	genocide
pearltrees-h2-0017	pearltrees	principal_path_lineage	s243a	10646429	geopolitics	10904768	1	10904768	Geo Politics	[]	geo politics	10646429	geopolitics	[]	geopolitics	2	Geo Politics	raw	geo politics	geopolitics	raw	geopolitics
pearltrees-h2-0018	pearltrees	principal_path_lineage	s243a	10371461	Gods of Earth and Nature	10371330	1	10371330	Symbols of Satanism (Documentary)	[]	symbols of satanism (documentary)	10369712	symbols-history	[]	symbols-history	2	Symbols of Satinism (Documentary)	corrected	symbols of satanism (documentary)	symbols-history	raw	symbols-history
pearltrees-h2-0019	pearltrees	principal_path_lineage	s243a	10323424	groups	15049310	1	15049310	Corporate Resistance to Spying	[]	corporate resistance to spying	10388463	clandestine	[]	clandestine	2	Corporate Resistance to Spying	raw	corporate resistance to spying	clandestine	raw	clandestine
pearltrees-h2-0020	pearltrees	principal_path_lineage	s243a	10390869	History by Region / place	10404820	1	10404820	Icelandic Geography	[]	icelandic geography	10410226	humanities	[]	humanities	2	Icelandic Geography	raw	icelandic geography	humanities	raw	humanities
pearltrees-h2-0021	pearltrees	principal_path_lineage	s243a	11257760	holocausts	12795827	1	12795827	The Indian Removal Act of 1830	[]	the indian removal act of 1830	11257760	holocausts	[]	holocausts	2	The Indian Removal Act of 1830	raw	the indian removal act of 1830	holocausts	raw	holocausts
pearltrees-h2-0022	pearltrees	principal_path_lineage	s243a	11636363	humanities & social sciences	11431022	1	11431022	psychology society	"[""Psychology society""]"	psychology society	11636363	humanities & social sciences	[]	humanities & social sciences	2	psychology society	raw	psychology society	humanities & social sciences	raw	humanities & social sciences
pearltrees-h2-0023	pearltrees	principal_path_lineage	s243a	10541842	Language, Literature & Other arts	10907895	1	10907889	English Nouns	[]	english nouns	10541842	Language, Literature & Other arts	[]	language, literature & other arts	2	English Nouns	raw	english nouns	Language, Literature & Other arts	raw	language, literature & other arts
pearltrees-h2-0024	pearltrees	principal_path_lineage	s243a	10455428	Literary Portrayals of Totalitarianism	10455431	1	10455431	Preface to Animal Farm	[]	preface to animal farm	10455428	Literary Portrayals of Totalitarianism	[]	literary portrayals of totalitarianism	2	Preface to Animal Farm	raw	preface to animal farm	Literary Portrayals of Totalitarianism	raw	literary portrayals of totalitarianism
pearltrees-h2-0025	pearltrees	principal_path_lineage	s243a	11056503	Man in the MIddle	10769144	1	10450406	NSA Programs	[]	nsa programs	11056503	Man in the MIddle	[]	man in the middle	2	NSA Programs	raw	nsa programs	Man in the MIddle	raw	man in the middle
pearltrees-h2-0026	pearltrees	principal_path_lineage	s243a	10908042	Manufacturing Technology	75884776	1	75884776	3D bioprinting	[]	3d bioprinting	10908042	Manufacturing Technology	[]	manufacturing technology	2	3D bioprinting	raw	3d bioprinting	Manufacturing Technology	raw	manufacturing technology
pearltrees-h2-0027	pearltrees	principal_path_lineage	s243a	10391040	media	12759321	1	12759321	1984 images	[]	1984 images	10646461	Collective Moods & dispositions	[]	collective moods & dispositions	2	1984 immages	corrected	1984 images	Collective Moods & dispositions	raw	collective moods & dispositions
pearltrees-h2-0028	pearltrees	principal_path_lineage	s243a	10381169	Mythology	10381200	1	10381200	Robert Graves	[]	robert graves	10369724	eyes-symbols-history-s243a	[]	eyes-symbols-history-s243a	2	Robert Graves	raw	robert graves	eyes-symbols-history-s243a	raw	eyes-symbols-history-s243a
pearltrees-h2-0029	pearltrees	principal_path_lineage	s243a	10390825	people	11864669	1	11864669	Alan Watts	[]	alan watts	10720378	philosophers	[]	philosophers	2	Alan Watts	raw	alan watts	philosophers	raw	philosophers
pearltrees-h2-0030	pearltrees	principal_path_lineage	s243a	10390751	philosophy	10510359,14493998	2	10455028	Blaming the Victim	[]	blaming the victim	10390751	philosophy	[]	philosophy	2	Blaming the Victum	corrected	blaming the victim	philosophy	raw	philosophy
