pair_id	corpus	graph_view	account	branch_id	branch_title	source_tree_ids	source_record_count	descendant_id	descendant_title	descendant_title_aliases	descendant_normalized_title	ancestor_id	ancestor_title	ancestor_title_aliases	ancestor_normalized_title	hop
pearltrees-h1-0000	pearltrees	principal_path_lineage	s243a	11820376	2 - root node (my real tree Pearl Trees Version 1.0)	11101424	1	11101424	Technology Science & Engineering Forums	"[""Technology Science &amp; Engineering Forums""]"	technology science & engineering forums	11101419	forums	[]	forums	1
pearltrees-h1-0001	pearltrees	principal_path_lineage	s243a	10908045	3D Printing	15768543	1	15768543	Building a Computer (How to)	[]	building a computer (how to)	10908042	Manufacturing Technology	[]	manufacturing technology	1
pearltrees-h1-0002	pearltrees	principal_path_lineage	s243a	69093604	Aluminum combustion	69093684	1	69093684	Twin Towers & Aluminum combustion	"[""Twin Towers &amp; Aluminum combustion""]"	twin towers & aluminum combustion	69093604	Aluminum combustion	[]	aluminum combustion	1
pearltrees-h1-0003	pearltrees	principal_path_lineage	s243a	10455430	Animal Farm	11728046	1	11728045	Anti-Democractic Think Tank Positions	[]	anti-democractic think tank positions	11728008	Power & Motivation (Political Philosophy)	[]	power & motivation (political philosophy)	1
pearltrees-h1-0004	pearltrees	principal_path_lineage	s243a	10646352	Antenna	11495604	1	11495604	Holonomic system	[]	holonomic system	11495603	Constraints (Clasical Mechanics)	[]	constraints (clasical mechanics)	1
pearltrees-h1-0005	pearltrees	principal_path_lineage	s243a	10489980	Apocalyptic Fiction	66164446	1	11263727	Dystopic Fiction	[]	dystopic fiction	10489978	Fiction	[]	fiction	1
pearltrees-h1-0006	pearltrees	principal_path_lineage	s243a	10658342	Artificial Intelligence	81150192	1	81150191	The Business of Artificial Intelligence	[]	the business of artificial intelligence	10658342	Artificial Intelligence	[]	artificial intelligence	1
pearltrees-h1-0007	pearltrees	principal_path_lineage	s243a	10455231	Bitcoin 2.0	10628300	1	10628300	Roundtripping	[]	roundtripping	10628297	Accounting Manipulation Schemes	[]	accounting manipulation schemes	1
pearltrees-h1-0008	pearltrees	principal_path_lineage	s243a	10490508	Byfracating legislation & lichpins	10490516	1	10490516	We the corperations	[]	we the corperations	10490508	Byfracating legislation & lichpins	[]	byfracating legislation & lichpins	1
pearltrees-h1-0009	pearltrees	principal_path_lineage	s243a	60480986	Cognition	76144475,81305419	2	76144475	Learning	[]	learning	60480986	Cognition	[]	cognition	1
pearltrees-h1-0010	pearltrees	principal_path_lineage	s243a	10892135	copyright	10391146	1	10391146	news.EFF.Patent	"[""News.EFF.Patent""]"	news.eff.patent	11207530	Intelectual Property	[]	intelectual property	1
pearltrees-h1-0011	pearltrees	principal_path_lineage	s243a	10518894	Corruption & Retribution	10556392	1	10556392	Alleged Monsanto Connections	[]	alleged monsanto connections	10556389	Monsanto	[]	monsanto	1
pearltrees-h1-0012	pearltrees	principal_path_lineage	s243a	10459350	Darknet & The Deep Web	10517704	1	10517701	Big Brother Govs & Corps (Books)	[]	big brother govs & corps (books)	10494970	Corporate Privacy attacks	[]	corporate privacy attacks	1
pearltrees-h1-0013	pearltrees	principal_path_lineage	s243a	23549372	Datascience (puppylinux)	23562907	1	23562907	Geography (Puppylinux)	[]	geography (puppylinux)	23549372	Datascience (puppylinux)	[]	datascience (puppylinux)	1
pearltrees-h1-0014	pearltrees	principal_path_lineage	s243a	72195805	Deontology (AKA Deontological ethics)	72196816	1	72196816	Kantianism	[]	kantianism	72195805	Deontology (AKA Deontological ethics)	[]	deontology (aka deontological ethics)	1
pearltrees-h1-0015	pearltrees	principal_path_lineage	s243a	10490022	Education	8388835	1	11423696	Education by other Pearlers	[]	education by other pearlers	10490022	Education	[]	education	1
pearltrees-h1-0016	pearltrees	principal_path_lineage	s243a	10390752	ethics	10524391,10586002,10757738,10757758,10761044,11088198,11262653,11395179,14876580,15641967,15642064	11	10543559	Theories of Influence	[]	theories of influence	10541948	Social Control	[]	social control	1
pearltrees-h1-0017	pearltrees	principal_path_lineage	s243a	10369724	eyes-symbols-history-s243a	12613895	1	12613895	Criticism of relegion	[]	criticism of relegion	10370051	Relegion	[]	relegion	1
pearltrees-h1-0018	pearltrees	principal_path_lineage	s243a	10343209	FBI-history-s243a	15102179	1	10950335	Keeping Down Black Power	[]	keeping down black power	10600494	Counter-activism & Counter-Revolutions	[]	counter-activism & counter-revolutions	1
pearltrees-h1-0019	pearltrees	principal_path_lineage	s243a	10489978	Fiction	66164325	1	66164325	Apocalyptic novels	[]	apocalyptic novels	10489980	Apocalyptic Fiction	[]	apocalyptic fiction	1
pearltrees-h1-0020	pearltrees	principal_path_lineage	s243a	10518564	Genocide	13691481	1	11743387	Genocides & Holocausts	[]	genocides & holocausts	10518564	Genocide	[]	genocide	1
pearltrees-h1-0021	pearltrees	principal_path_lineage	s243a	10646429	geopolitics	10904768	1	10904768	Geo Politics	[]	geo politics	10399693	policy	[]	policy	1
pearltrees-h1-0022	pearltrees	principal_path_lineage	s243a	10371461	Gods of Earth and Nature	10371330	1	10371330	Symbols of Satinism (Documentary)	[]	symbols of satinism (documentary)	10369724	eyes-symbols-history-s243a	[]	eyes-symbols-history-s243a	1
pearltrees-h1-0023	pearltrees	principal_path_lineage	s243a	10323424	groups	10425296	1	10425297	Torture	[]	torture	10388463	clandestine	[]	clandestine	1
pearltrees-h1-0024	pearltrees	principal_path_lineage	s243a	10390869	History by Region / place	10741831,11446295,11746501,15698962	4	10676482	Poverty	[]	poverty	10455187	Social Sciences	[]	social sciences	1
pearltrees-h1-0025	pearltrees	principal_path_lineage	s243a	11257760	holocausts	12795827,14468099,14696442	3	11743368	The native American genocide/holocaust	[]	the native american genocide/holocaust	11257760	holocausts	[]	holocausts	1
pearltrees-h1-0026	pearltrees	principal_path_lineage	s243a	70315977	Human communication	70316192	1	70316192	Language	[]	language	70315977	Human communication	[]	human communication	1
pearltrees-h1-0027	pearltrees	principal_path_lineage	s243a	11636363	humanities & social sciences	11431022	1	11431022	psychology society	"[""Psychology society""]"	psychology society	10889076	society	[]	society	1
pearltrees-h1-0028	pearltrees	principal_path_lineage	s243a	10676595	integral	10516833	1	10516833	Probability & Statistics	"[""Probability &amp; Statistics""]"	probability & statistics	10676595	integral	[]	integral	1
pearltrees-h1-0029	pearltrees	principal_path_lineage	s243a	10541842	Language, Literature & Other arts	12053776	1	12053776	emotions (language)	"[""Emotions (language)""]"	emotions (language)	10541842	Language, Literature & Other arts	[]	language, literature & other arts	1
pearltrees-h1-0030	pearltrees	principal_path_lineage	s243a	10455428	Literary Portrayals of Totalitarianism	10455431	1	10455431	Preface to Animal Farm	[]	preface to animal farm	10455430	Animal Farm	[]	animal farm	1
pearltrees-h1-0031	pearltrees	principal_path_lineage	s243a	11056503	Man in the MIddle	10769144	1	11056507	NSA & Man in the Middle	[]	nsa & man in the middle	11056503	Man in the MIddle	[]	man in the middle	1
pearltrees-h1-0032	pearltrees	principal_path_lineage	s243a	10908042	Manufacturing Technology	75884776	1	75884776	3D bioprinting	[]	3d bioprinting	10908045	3D Printing	[]	3d printing	1
pearltrees-h1-0033	pearltrees	principal_path_lineage	s243a	10391040	media	15670362	1	15670362	Dangerous Generalities	[]	dangerous generalities	10800288	Destructive Practices	[]	destructive practices	1
pearltrees-h1-0034	pearltrees	principal_path_lineage	s243a	52520927	Methodology (Formal Sciences)	52520985	1	52520985	Scientific method	[]	scientific method	52520927	Methodology (Formal Sciences)	[]	methodology (formal sciences)	1
pearltrees-h1-0035	pearltrees	principal_path_lineage	s243a	10381169	Mythology	10519858	1	10519858	Aleister Crowley by other Pearlers	[]	aleister crowley by other pearlers	10371507	Aleister Crowley	[]	aleister crowley	1
pearltrees-h1-0036	pearltrees	principal_path_lineage	s243a	10390825	people	14942407	1	14942407	MPs (Canadian Politicans)	[]	mps (canadian politicans)	10543300	Canadian Politicians	[]	canadian politicians	1
pearltrees-h1-0037	pearltrees	principal_path_lineage	s243a	10390751	philosophy	14493998	1	14493998	memes -- blaming the poor	"[""Memes -- blaming the poor""]"	memes -- blaming the poor	10497439	Blaming the victim & Poverty	[]	blaming the victim & poverty	1
pearltrees-h1-0038	pearltrees	principal_path_lineage	s243a	10399690	Politics	14142445	1	14142445	The Raiding of the Commons	[]	the raiding of the commons	10821287	Trickle Up Welfare	[]	trickle up welfare	1
pearltrees-h1-0039	pearltrees	principal_path_lineage	s243a	61837122	Problem behavior	61837175	1	61837175	Misconduct‎	[]	misconduct‎	61837122	Problem behavior	[]	problem behavior	1
pearltrees-h1-0040	pearltrees	principal_path_lineage	s243a	10995538	Republican Politics	15672311	1	15672311	Satire or Reality? (Right wing Madness)	[]	satire or reality? (right wing madness)	11549294	Republican Sideshows	[]	republican sideshows	1
pearltrees-h1-0041	pearltrees	principal_path_lineage	s243a	11549294	Republican Sideshows	14234218	1	10797473	The Social Security Debate	[]	the social security debate	10797464	American Politics	[]	american politics	1
pearltrees-h1-0042	pearltrees	principal_path_lineage	s243a	68982620	Safety‎	81342276	1	81342276	Security	[]	security	68982620	Safety‎	[]	safety‎	1
pearltrees-h1-0043	pearltrees	principal_path_lineage	s243a	10400867	Social Forces	15044166	1	15044166	Acountability	[]	acountability	10400867	Social Forces	[]	social forces	1
pearltrees-h1-0044	pearltrees	principal_path_lineage	s243a	10311488	Social Media	10658521	1	10658521	The Afganastan Media	[]	the afganastan media	10658520	Media in _ country	[]	media in country	1
pearltrees-h1-0045	pearltrees	principal_path_lineage	s243a	10950002	Social Power	10950000,10950015	2	10949992	Types of power	[]	types of power	10950002	Social Power	[]	social power	1
pearltrees-h1-0046	pearltrees	principal_path_lineage	s243a	10371821	Society	12155877	1	12155877	LOGO	[]	logo	12154082	TV Networks	[]	tv networks	1
pearltrees-h1-0047	pearltrees	principal_path_lineage	s243a	10369712	symbols-history	10986539,11044343,1167286,14195928,3598416	5	10579331	Places	[]	places	10390869	History by Region / place	[]	history by region / place	1
pearltrees-h1-0048	pearltrees	principal_path_lineage	s243a	11727684	Technology, Engineering & Design	10031034,10380971,10388356,10388364,10516788,10789639,10797629,10976618,11110453,11676890,11839221,12318781,12324665,12466888,12531010,12948360,13565020,17658098,3928477,53344270,60340939,61533727,68961538,7178850,73599954,73899693,74973688,75009241,75009264,75009269,7512677,7708465,7739255,7739285,82448474	35	10380971	technology	"[""Technology""]"	technology	11727684	Technology, Engineering & Design	[]	technology, engineering & design	1
pearltrees-h1-0049	pearltrees	principal_path_lineage	s243a	11027045	The Dividing of People's with lines on the map	14222863	1	14222863	The MOVE bombing	[]	the move bombing	11393591	The Militerization of the Police	[]	the militerization of the police	1
pearltrees-h2-0000	pearltrees	principal_path_lineage	s243a	11820376	2 - root node (my real tree Pearl Trees Version 1.0)	9285273	1	9285273	Wikipedia C	[]	wikipedia c	9285265	Wikipedia	[]	wikipedia	2
pearltrees-h2-0001	pearltrees	principal_path_lineage	s243a	10908045	3D Printing	15768543	1	15768543	Building a Computer (How to)	[]	building a computer (how to)	10908045	3D Printing	[]	3d printing	2
pearltrees-h2-0002	pearltrees	principal_path_lineage	s243a	10455430	Animal Farm	11728089	1	11728089	Where Elite Unity Exists	[]	where elite unity exists	10455428	Literary Portrayals of Totalitarianism	[]	literary portrayals of totalitarianism	2
pearltrees-h2-0003	pearltrees	principal_path_lineage	s243a	10646352	Antenna	11495604	1	11495603	Constraints (Clasical Mechanics)	[]	constraints (clasical mechanics)	10647426	Physics	[]	physics	2
pearltrees-h2-0004	pearltrees	principal_path_lineage	s243a	10489980	Apocalyptic Fiction	66164446	1	11263728	capitalism in Dystopic Fiction	[]	capitalism in dystopic fiction	10489978	Fiction	[]	fiction	2
pearltrees-h2-0005	pearltrees	principal_path_lineage	s243a	10658342	Artificial Intelligence	11379949	1	11379949	Trends	[]	trends	10658342	Artificial Intelligence	[]	artificial intelligence	2
pearltrees-h2-0006	pearltrees	principal_path_lineage	s243a	10455231	Bitcoin 2.0	69739167	1	69739167	Business process	[]	business process	10538786	Acounting	[]	acounting	2
pearltrees-h2-0007	pearltrees	principal_path_lineage	s243a	60480986	Cognition	81305419	1	81305419	"""Pure"" Intelligence?"	"[""&quot;Pure&quot; Intelligence?""]"	"""pure"" intelligence?"	76144475	Learning	[]	learning	2
pearltrees-h2-0008	pearltrees	principal_path_lineage	s243a	10892135	copyright	10391146	1	11207530	Intelectual Property	[]	intelectual property	10892135	copyright	[]	copyright	2
pearltrees-h2-0009	pearltrees	principal_path_lineage	s243a	10518894	Corruption & Retribution	10870912	1	10622723	Conflict of interest	[]	conflict of interest	10518894	Corruption & Retribution	[]	corruption & retribution	2
pearltrees-h2-0010	pearltrees	principal_path_lineage	s243a	10459350	Darknet & The Deep Web	10517704	1	10517704	Privacy in The Age of Big Data	[]	privacy in the age of big data	10494970	Corporate Privacy attacks	[]	corporate privacy attacks	2
pearltrees-h2-0011	pearltrees	principal_path_lineage	s243a	10490022	Education	14112246	1	14112246	Teaching to the test	[]	teaching to the test	10490022	Education	[]	education	2
pearltrees-h2-0012	pearltrees	principal_path_lineage	s243a	10390752	ethics	11730028	1	11730027	adiction	[]	adiction	10411186	Political Psycology	[]	political psycology	2
pearltrees-h2-0013	pearltrees	principal_path_lineage	s243a	10369724	eyes-symbols-history-s243a	11101525	1	11101523	Culture (Sociology)	[]	culture (sociology)	10370051	Relegion	[]	relegion	2
pearltrees-h2-0014	pearltrees	principal_path_lineage	s243a	10343209	FBI-history-s243a	11153655,15102179,15664320	3	10600494	Counter-activism & Counter-Revolutions	[]	counter-activism & counter-revolutions	10343209	FBI-history-s243a	[]	fbi-history-s243a	2
pearltrees-h2-0015	pearltrees	principal_path_lineage	s243a	10489978	Fiction	66164325	1	66164325	Apocalyptic novels	[]	apocalyptic novels	10489978	Fiction	[]	fiction	2
pearltrees-h2-0016	pearltrees	principal_path_lineage	s243a	10518564	Genocide	13691481	1	13691481	Cultural Genocide	[]	cultural genocide	10518564	Genocide	[]	genocide	2
pearltrees-h2-0017	pearltrees	principal_path_lineage	s243a	10646429	geopolitics	10904768	1	10904768	Geo Politics	[]	geo politics	10646429	geopolitics	[]	geopolitics	2
pearltrees-h2-0018	pearltrees	principal_path_lineage	s243a	10371461	Gods of Earth and Nature	10371330	1	10371330	Symbols of Satinism (Documentary)	[]	symbols of satinism (documentary)	10369712	symbols-history	[]	symbols-history	2
pearltrees-h2-0019	pearltrees	principal_path_lineage	s243a	10323424	groups	15049310	1	15049310	Corporate Resistance to Spying	[]	corporate resistance to spying	10388463	clandestine	[]	clandestine	2
pearltrees-h2-0020	pearltrees	principal_path_lineage	s243a	10390869	History by Region / place	10404820	1	10404820	Icelandic Geography	[]	icelandic geography	10410226	humanities	[]	humanities	2
pearltrees-h2-0021	pearltrees	principal_path_lineage	s243a	11257760	holocausts	12795827	1	12795827	The Indian Removal Act of 1830	[]	the indian removal act of 1830	11257760	holocausts	[]	holocausts	2
pearltrees-h2-0022	pearltrees	principal_path_lineage	s243a	11636363	humanities & social sciences	11431022	1	11431022	psychology society	"[""Psychology society""]"	psychology society	11636363	humanities & social sciences	[]	humanities & social sciences	2
pearltrees-h2-0023	pearltrees	principal_path_lineage	s243a	10541842	Language, Literature & Other arts	10907895	1	10907889	English Nouns	[]	english nouns	10541842	Language, Literature & Other arts	[]	language, literature & other arts	2
pearltrees-h2-0024	pearltrees	principal_path_lineage	s243a	10455428	Literary Portrayals of Totalitarianism	10455431	1	10455431	Preface to Animal Farm	[]	preface to animal farm	10455428	Literary Portrayals of Totalitarianism	[]	literary portrayals of totalitarianism	2
pearltrees-h2-0025	pearltrees	principal_path_lineage	s243a	11056503	Man in the MIddle	10769144	1	10450406	NSA Programs	[]	nsa programs	11056503	Man in the MIddle	[]	man in the middle	2
pearltrees-h2-0026	pearltrees	principal_path_lineage	s243a	10908042	Manufacturing Technology	75884776	1	75884776	3D bioprinting	[]	3d bioprinting	10908042	Manufacturing Technology	[]	manufacturing technology	2
pearltrees-h2-0027	pearltrees	principal_path_lineage	s243a	10391040	media	12759321	1	12759321	1984 immages	[]	1984 immages	10646461	Collective Moods & dispositions	[]	collective moods & dispositions	2
pearltrees-h2-0028	pearltrees	principal_path_lineage	s243a	10381169	Mythology	10381200	1	10381200	Robert Graves	[]	robert graves	10369724	eyes-symbols-history-s243a	[]	eyes-symbols-history-s243a	2
pearltrees-h2-0029	pearltrees	principal_path_lineage	s243a	10390825	people	11864669	1	11864669	Alan Watts	[]	alan watts	10720378	philosophers	[]	philosophers	2
pearltrees-h2-0030	pearltrees	principal_path_lineage	s243a	10390751	philosophy	10510359,14493998	2	10455028	Blaming the Victum	[]	blaming the victum	10390751	philosophy	[]	philosophy	2
pearltrees-h2-0031	pearltrees	principal_path_lineage	s243a	10399690	Politics	14142445	1	14142445	The Raiding of the Commons	[]	the raiding of the commons	10518185	The War on the Poor	[]	the war on the poor	2
pearltrees-h2-0032	pearltrees	principal_path_lineage	s243a	10995538	Republican Politics	15672311	1	15672311	Satire or Reality? (Right wing Madness)	[]	satire or reality? (right wing madness)	10995538	Republican Politics	[]	republican politics	2
pearltrees-h2-0033	pearltrees	principal_path_lineage	s243a	11549294	Republican Sideshows	14234218	1	14234218	In Defense of Social Security	[]	in defense of social security	10797464	American Politics	[]	american politics	2
pearltrees-h2-0034	pearltrees	principal_path_lineage	s243a	10400867	Social Forces	8497408	1	8497408	Ancient Cultures	[]	ancient cultures	10400867	Social Forces	[]	social forces	2
pearltrees-h2-0035	pearltrees	principal_path_lineage	s243a	10311488	Social Media	10821231	1	10821231	The Century of The Self	[]	the century of the self	10391040	media	[]	media	2
pearltrees-h2-0036	pearltrees	principal_path_lineage	s243a	10950002	Social Power	10950015	1	10950015	Moral Power	[]	moral power	10950002	Social Power	[]	social power	2
pearltrees-h2-0037	pearltrees	principal_path_lineage	s243a	10371821	Society	10459336	1	10459336	The War on Science	[]	the war on science	10399704	war	[]	war	2
pearltrees-h2-0038	pearltrees	principal_path_lineage	s243a	10369712	symbols-history	10986539,11044343,14195928	3	10719865	Asia	[]	asia	10390869	History by Region / place	[]	history by region / place	2
pearltrees-h2-0039	pearltrees	principal_path_lineage	s243a	11727684	Technology, Engineering & Design	10388356,10388364,10516788,10797629,11110453,11676890,11839221,12318781,12324665,12466888,12531010,12948360,13565020,17658098,53344270,60340939,61533727,7178850,73599954,73899693,74973688,75009241,75009264,75009269,7512677,7708465,7739255,7739285,82448474	29	10444105	Subjects of learning	[]	subjects of learning	11727684	Technology, Engineering & Design	[]	technology, engineering & design	2
pearltrees-h2-0040	pearltrees	principal_path_lineage	s243a	11027045	The Dividing of People's with lines on the map	12772376,14222863	2	11393591	The Militerization of the Police	[]	the militerization of the police	11027045	The Dividing of People's with lines on the map	[]	the dividing of people's with lines on the map	2
pearltrees-h2-0041	pearltrees	principal_path_lineage	s243a	11820376	2 - root node (my real tree Pearl Trees Version 1.0)	11101424	1	11101424	Technology Science & Engineering Forums	"[""Technology Science &amp; Engineering Forums""]"	technology science & engineering forums	11820376	2 - root node (my real tree Pearl Trees Version 1.0)	[]	2 - root node (my real tree pearl trees version 1.0)	2
pearltrees-h2-0042	pearltrees	principal_path_lineage	s243a	10455430	Animal Farm	11728046,11728089	2	11728008	Power & Motivation (Political Philosophy)	[]	power & motivation (political philosophy)	10455430	Animal Farm	[]	animal farm	2
pearltrees-h2-0043	pearltrees	principal_path_lineage	s243a	10646352	Antenna	11495604	1	10647433	Electricity & Magnitism (Physics)	[]	electricity & magnitism (physics)	10646352	Antenna	[]	antenna	2
pearltrees-h2-0044	pearltrees	principal_path_lineage	s243a	10489980	Apocalyptic Fiction	66164446	1	11263727	Dystopic Fiction	[]	dystopic fiction	10489980	Apocalyptic Fiction	[]	apocalyptic fiction	2
pearltrees-h2-0045	pearltrees	principal_path_lineage	s243a	10658342	Artificial Intelligence	11376768	1	11376768	Weak signals	[]	weak signals	10658342	Artificial Intelligence	[]	artificial intelligence	2
pearltrees-h2-0046	pearltrees	principal_path_lineage	s243a	10455231	Bitcoin 2.0	15052005	1	15052005	Managerial Science	[]	managerial science	10538786	Acounting	[]	acounting	2
pearltrees-h2-0047	pearltrees	principal_path_lineage	s243a	60480986	Cognition	81305419	1	76144393	Intelligence	[]	intelligence	60480986	Cognition	[]	cognition	2
pearltrees-h2-0048	pearltrees	principal_path_lineage	s243a	10892135	copyright	10391146	1	10391146	news.EFF.Patent	"[""News.EFF.Patent""]"	news.eff.patent	10479932	Copyright & Free Speach	[]	copyright & free speach	2
pearltrees-h2-0049	pearltrees	principal_path_lineage	s243a	10518894	Corruption & Retribution	11379321	1	11379321	gerrymandering	"[""Gerrymandering""]"	gerrymandering	10517528	Corruption	[]	corruption	2
pearltrees-h3-0000	pearltrees	principal_path_lineage	s243a	11820376	2 - root node (my real tree Pearl Trees Version 1.0)	11791730,9285273	2	11791730	Wikipedia C	[]	wikipedia c	11820376	2 - root node (my real tree Pearl Trees Version 1.0)	[]	2 - root node (my real tree pearl trees version 1.0)	3
pearltrees-h3-0001	pearltrees	principal_path_lineage	s243a	10455430	Animal Farm	11728046	1	11728046	The Crises in Democarcy	[]	the crises in democarcy	10455428	Literary Portrayals of Totalitarianism	[]	literary portrayals of totalitarianism	3
pearltrees-h3-0002	pearltrees	principal_path_lineage	s243a	10646352	Antenna	11495604	1	10647426	Physics	[]	physics	10646352	Antenna	[]	antenna	3
pearltrees-h3-0003	pearltrees	principal_path_lineage	s243a	10489980	Apocalyptic Fiction	66164446	1	11263728	capitalism in Dystopic Fiction	[]	capitalism in dystopic fiction	10489980	Apocalyptic Fiction	[]	apocalyptic fiction	3
pearltrees-h3-0004	pearltrees	principal_path_lineage	s243a	10455231	Bitcoin 2.0	10628300	1	10628297	Accounting Manipulation Schemes	[]	accounting manipulation schemes	10455231	Bitcoin 2.0	[]	bitcoin 2.0	3
pearltrees-h3-0005	pearltrees	principal_path_lineage	s243a	60480986	Cognition	81305419	1	81305419	"""Pure"" Intelligence?"	"[""&quot;Pure&quot; Intelligence?""]"	"""pure"" intelligence?"	60480986	Cognition	[]	cognition	3
pearltrees-h3-0006	pearltrees	principal_path_lineage	s243a	10892135	copyright	10391146	1	10391146	news.EFF.Patent	"[""News.EFF.Patent""]"	news.eff.patent	10892135	copyright	[]	copyright	3
pearltrees-h3-0007	pearltrees	principal_path_lineage	s243a	10518894	Corruption & Retribution	70414794	1	70414794	Justice (Ethics and/or Wikipedia category )	[]	justice (ethics and/or wikipedia category )	10518894	Corruption & Retribution	[]	corruption & retribution	3
pearltrees-h3-0008	pearltrees	principal_path_lineage	s243a	10459350	Darknet & The Deep Web	10517704	1	10517704	Privacy in The Age of Big Data	[]	privacy in the age of big data	10450458	Privacy (Technology)	[]	privacy (technology)	3
pearltrees-h3-0009	pearltrees	principal_path_lineage	s243a	10490022	Education	11286278	1	11286278	An Eye for An Eye	[]	an eye for an eye	10490022	Education	[]	education	3
pearltrees-h3-0010	pearltrees	principal_path_lineage	s243a	10390752	ethics	11286288	1	11286288	breaching	"[""Breaching""]"	breaching	10462622	Political Philosophy	[]	political philosophy	3
pearltrees-h3-0011	pearltrees	principal_path_lineage	s243a	10369724	eyes-symbols-history-s243a	12613895	1	12613895	Criticism of relegion	[]	criticism of relegion	10390869	History by Region / place	[]	history by region / place	3
pearltrees-h3-0012	pearltrees	principal_path_lineage	s243a	10343209	FBI-history-s243a	11153655	1	11153655	Rounding up the Idlers	[]	rounding up the idlers	10343222	cointelpro (fbi history)	[]	cointelpro (fbi history)	3
pearltrees-h3-0013	pearltrees	principal_path_lineage	s243a	10646429	geopolitics	10517480	1	10517480	Heartland Theory	[]	heartland theory	10646429	geopolitics	[]	geopolitics	3
pearltrees-h3-0014	pearltrees	principal_path_lineage	s243a	10371461	Gods of Earth and Nature	10371600	1	10371600	Associated With Sekhmet	[]	associated with sekhmet	10390869	History by Region / place	[]	history by region / place	3
pearltrees-h3-0015	pearltrees	principal_path_lineage	s243a	10323424	groups	10779676	1	10779676	Dr Jack Heinemann	[]	dr jack heinemann	10323425	groups-activists	[]	groups-activists	3
pearltrees-h3-0016	pearltrees	principal_path_lineage	s243a	10390869	History by Region / place	11723294	1	11706800	Theater of the Absurd	[]	theater of the absurd	10343207	history	[]	history	3
pearltrees-h3-0017	pearltrees	principal_path_lineage	s243a	10541842	Language, Literature & Other arts	11394097	1	11394097	Anti-Drone War Art	[]	anti-drone war art	11389008	Political Art	[]	political art	3
pearltrees-h3-0018	pearltrees	principal_path_lineage	s243a	11056503	Man in the MIddle	10769144	1	10769144	P.R.I.S.M	[]	p.r.i.s.m	11056503	Man in the MIddle	[]	man in the middle	3
pearltrees-h3-0019	pearltrees	principal_path_lineage	s243a	10391040	media	10779347	1	10779347	Cynacism on Justice & Inequality	"[""Cynacism on Justice &amp; Inequality""]"	cynacism on justice & inequality	10323703	s243a-cynicism	[]	s243a-cynicism	3
pearltrees-h3-0020	pearltrees	principal_path_lineage	s243a	10381169	Mythology	10519858	1	10371507	Aleister Crowley	[]	aleister crowley	10369712	symbols-history	[]	symbols-history	3
